instance,acacia_result,acacia_seconds,acacia_exit,ltlsynt_result,ltlsynt_seconds,ltlsynt_exit,ltlsynt_comparison
full_arbiter_unreal1_pb_3_8_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.05,124,
full_arbiter_unreal1_pb_3_9_pe_.tlsf,TIMEOUT,17.081,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_10_pe_.tlsf,TIMEOUT,17.081,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_11_pe_.tlsf,TIMEOUT,17.068,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_12_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_13_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.048,124,
full_arbiter_unreal1_pb_4_14_pe_.tlsf,TIMEOUT,17.069,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_15_pe_.tlsf,TIMEOUT,17.076,124,TIMEOUT,17.05,124,
full_arbiter_unreal1_pb_4_16_pe_.tlsf,TIMEOUT,17.071,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_1_pe_.tlsf,UNREALIZABLE,0.038,1,UNREALIZABLE,14.88,1,
full_arbiter_unreal1_pb_4_2_pe_.tlsf,UNREALIZABLE,0.051,1,UNREALIZABLE,6.449,1,
full_arbiter_unreal1_pb_4_3_pe_.tlsf,UNREALIZABLE,0.17,1,UNREALIZABLE,10.521,1,
full_arbiter_unreal1_pb_4_4_pe_.tlsf,UNREALIZABLE,2.441,1,TIMEOUT,17.05,124,
full_arbiter_unreal1_pb_4_5_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.05,124,
full_arbiter_unreal1_pb_4_6_pe_.tlsf,TIMEOUT,17.066,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_7_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_8_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_4_9_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
full_arbiter_unreal1_pb_6_8_pe_.tlsf,TIMEOUT,17.05,124,TIMEOUT,17.05,124,
full_arbiter_unreal2_pb_2_pe_.tlsf,UNREALIZABLE,0.023,1,UNREALIZABLE,0.019,1,LTLSYNT_FASTER
full_arbiter_unreal2_pb_3_pe_.tlsf,UNREALIZABLE,0.042,1,UNREALIZABLE,0.036,1,LTLSYNT_FASTER
full_arbiter_unreal2_pb_4_pe_.tlsf,UNREALIZABLE,4.699,1,UNREALIZABLE,2.795,1,LTLSYNT_FASTER
full_arbiter_unreal2_pb_5_pe_.tlsf,TIMEOUT,17.04,124,TIMEOUT,17.049,124,
full_arbiter_unreal2_pb_6_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
full_arbiter_unreal2_pb_7_pe_.tlsf,TIMEOUT,17.05,124,TIMEOUT,17.049,124,
full_arbiter_unreal2_pb_8_pe_.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
g-real-real.tlsf,TIMEOUT,17.132,124,REALIZABLE,0.104,0,SOLVED_ONLY_BY_LTLSYNT
g-real0.tlsf,UNREALIZABLE,11.902,1,UNREALIZABLE,0.037,1,LTLSYNT_FASTER
g-unreal-1-unreal.tlsf,TIMEOUT,17.022,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-10.tlsf,UNREALIZABLE,0.023,1,UNREALIZABLE,0.018,1,LTLSYNT_FASTER
g-unreal-11.tlsf,UNREALIZABLE,0.015,1,UNREALIZABLE,0.018,1,
g-unreal-110.tlsf,UNREALIZABLE,3.007,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
g-unreal-111.tlsf,UNREALIZABLE,4.381,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
g-unreal-112.tlsf,UNREALIZABLE,5.678,1,UNREALIZABLE,0.029,1,LTLSYNT_FASTER
g-unreal-113.tlsf,UNREALIZABLE,6.499,1,UNREALIZABLE,0.028,1,LTLSYNT_FASTER
g-unreal-114.tlsf,UNREALIZABLE,8.38,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
g-unreal-115.tlsf,UNREALIZABLE,11.763,1,UNREALIZABLE,0.031,1,LTLSYNT_FASTER
g-unreal-116.tlsf,TIMEOUT,17.033,124,UNREALIZABLE,0.037,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-117.tlsf,TIMEOUT,17.034,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
