id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
Coffee_06e9cad4.ltl	no	0.867462	budget_exhausted	no	1.019102	budget_exhausted
Coffee_235467da.ltl	no	0.863928	budget_exhausted	no	1.013819	budget_exhausted
Coffee_2c5b09da.ltl	no	0.861254	budget_exhausted	no	1.012801	budget_exhausted
Coffee_6479ef9a.ltl	no	0.859052	budget_exhausted	no	1.013659	budget_exhausted
Coffee_d6376bf9.ltl	no	0.866667	budget_exhausted	no	1.015444	budget_exhausted
Coffee_efe2feaf.ltl	no	0.177865	unsupported_or_failed	no	0.176422	unsupported_or_failed
Coffee_f1477cc5.ltl	no	0.860631	budget_exhausted	no	1.012872	budget_exhausted
Core_4b5a2bad.ltl	no	0.150528	unsupported_or_failed	no	0.148181	unsupported_or_failed
Core_66f450a4.ltl	yes	0.067565		yes	0.070564	
Core_fa4d4ce3.ltl	no	0.288288	unsupported_or_failed	no	0.290546	unsupported_or_failed
Core_solved_974f4a68.ltl	no	0.146199	unsupported_or_failed	no	0.149313	unsupported_or_failed
Demo1_06e9cad4.ltl	no	0.858476	budget_exhausted	no	1.010598	budget_exhausted
Demo1_2c5b09da.ltl	no	0.858866	budget_exhausted	no	1.009354	budget_exhausted
Demo1_63831f8c.ltl	no	0.858464	budget_exhausted	no	1.008792	budget_exhausted
Demo1_c2b9e44d.ltl	no	0.858440	budget_exhausted	no	1.010745	budget_exhausted
Demo1_d65ed84e.ltl	no	0.859251	budget_exhausted	no	1.009381	budget_exhausted
DeviceBehaviorChec_fa8592c8.ltl	no	0.855517	budget_exhausted	no	1.006381	budget_exhausted
Door_2d1010f8.ltl	no	0.106778	unsupported_or_failed	no	0.105790	unsupported_or_failed
EnemeyModule.ltl	yes	0.065032		yes	0.066235	
EscalatorBidirectional.ltl	yes	0.076133		yes	0.076615	
EscalatorBidirectionalInit.ltl	yes	0.074937		yes	0.076188	
EscalatorCounting.ltl	yes	0.067302		yes	0.066193	
EscalatorCountingInit.ltl	yes	0.067150		yes	0.065261	
EscalatorNonCounting.ltl	yes	0.063021		yes	0.064905	
EscalatorNonReactive.ltl	yes	0.065777		yes	0.061011	
EscalatorSmart.ltl	no	0.095563	unsupported_or_failed	no	0.095458	unsupported_or_failed
Example1_d6376bf9.ltl	yes	0.068710		yes	0.068001	
F-G-contradiction-10.ltl	no	0.064171	unsupported_or_failed	no	0.063659	unsupported_or_failed
F-G-contradiction-11.ltl	no	0.065429	unsupported_or_failed	no	0.064033	unsupported_or_failed
