id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
amba_decomposed_arbiter_pb_4_pe_.ltl	yes	0.093002		yes	0.095749	
amba_decomposed_arbiter_pb_5_pe_.ltl	yes	0.155530		yes	0.150513	
amba_decomposed_arbiter_pb_6_pe_.ltl	yes	0.406775		yes	0.399466	
amba_decomposed_arbiter_pb_7_pe_.ltl	no	0.854060	budget_exhausted	no	1.003885	budget_exhausted
amba_decomposed_arbiter_pb_8_pe_.ltl	no	0.854649	budget_exhausted	no	1.005611	budget_exhausted
amba_decomposed_arbiter_pb_9_pe_.ltl	no	0.855705	budget_exhausted	no	1.005029	budget_exhausted
amba_decomposed_decode.ltl	yes	0.065980		yes	0.064888	
amba_decomposed_encode_pb_10_pe_.ltl	yes	0.089985		yes	0.084794	
amba_decomposed_encode_pb_11_pe_.ltl	yes	0.085783		yes	0.087149	
amba_decomposed_encode_pb_12_pe_.ltl	yes	0.091498		yes	0.088808	
amba_decomposed_encode_pb_13_pe_.ltl	yes	0.095827		yes	0.102073	
amba_decomposed_encode_pb_14_pe_.ltl	yes	0.111476		yes	0.109989	
amba_decomposed_encode_pb_15_pe_.ltl	yes	0.130970		yes	0.121561	
amba_decomposed_encode_pb_16_pe_.ltl	yes	0.149483		yes	0.144057	
amba_decomposed_encode_pb_20_pe_.ltl	no	0.858630	budget_exhausted	no	1.007904	budget_exhausted
amba_decomposed_encode_pb_25_pe_.ltl	no	0.858160	budget_exhausted	no	1.012144	budget_exhausted
amba_decomposed_encode_pb_2_pe_.ltl	yes	0.072258		yes	0.069319	
amba_decomposed_encode_pb_3_pe_.ltl	yes	0.071523		yes	0.069056	
amba_decomposed_encode_pb_4_pe_.ltl	yes	0.070168		yes	0.075768	
amba_decomposed_encode_pb_5_pe_.ltl	yes	0.076432		yes	0.075996	
amba_decomposed_encode_pb_6_pe_.ltl	yes	0.075518		yes	0.079953	
amba_decomposed_encode_pb_7_pe_.ltl	yes	0.077783		yes	0.079275	
amba_decomposed_encode_pb_8_pe_.ltl	yes	0.081883		yes	0.076159	
amba_decomposed_encode_pb_9_pe_.ltl	yes	0.082942		yes	0.084884	
amba_decomposed_lock_pb_10_pe_.ltl	yes	0.081389		yes	0.080334	
amba_decomposed_lock_pb_11_pe_.ltl	yes	0.081169		yes	0.083575	
amba_decomposed_lock_pb_12_pe_.ltl	yes	0.083375		yes	0.086173	
amba_decomposed_lock_pb_13_pe_.ltl	yes	0.092775		yes	0.090657	
amba_decomposed_lock_pb_14_pe_.ltl	yes	0.098156		yes	0.097261	
amba_decomposed_lock_pb_15_pe_.ltl	yes	0.111251		yes	0.114264	
amba_decomposed_lock_pb_16_pe_.ltl	yes	0.142208		yes	0.145337	
amba_decomposed_lock_pb_2_pe_.ltl	yes	0.070498		yes	0.069748	
amba_decomposed_lock_pb_30_pe_.ltl	no	0.858454	budget_exhausted	no	1.009288	budget_exhausted
amba_decomposed_lock_pb_3_pe_.ltl	yes	0.073807		yes	0.068040	
amba_decomposed_lock_pb_4_pe_.ltl	yes	0.069494		yes	0.071518	
amba_decomposed_lock_pb_5_pe_.ltl	yes	0.073201		yes	0.070150	
amba_decomposed_lock_pb_6_pe_.ltl	yes	0.077738		yes	0.072304	
amba_decomposed_lock_pb_7_pe_.ltl	yes	0.075351		yes	0.072491	
amba_decomposed_lock_pb_8_pe_.ltl	yes	0.077915		yes	0.074104	
amba_decomposed_lock_pb_9_pe_.ltl	yes	0.079425		yes	0.077432	
amba_decomposed_shift.ltl	yes	0.066582		yes	0.069836	
amba_decomposed_tburst4.ltl	no	0.087634	unsupported_or_failed	no	0.086287	unsupported_or_failed
amba_decomposed_tincr.ltl	yes	0.073577		yes	0.073369	
amba_decomposed_tsingle.ltl	yes	0.071657		yes	0.073441	
amba_gr+_pb_2_pe_.ltl	no	0.071157	unsupported_or_failed	no	0.062808	unsupported_or_failed
amba_gr+_pb_3_pe_.ltl	no	0.068415	unsupported_or_failed	no	0.063938	unsupported_or_failed
amba_gr_pb_2_pe_.ltl	no	0.069225	unsupported_or_failed	no	0.065436	unsupported_or_failed
amba_gr_pb_3_pe_.ltl	no	0.065130	unsupported_or_failed	no	0.069544	unsupported_or_failed
amba_gr_pb_4_pe_.ltl	no	0.068719	unsupported_or_failed	no	0.067714	unsupported_or_failed
arbiter-paper-unreal-unreal.ltl	no	0.067568	unsupported_or_failed	no	0.067587	unsupported_or_failed
arbiter-with-failure-real.ltl	no	0.068161	unsupported_or_failed	no	0.070999	unsupported_or_failed
arbiter_on_inpchange_pb_1_pe_.ltl	yes	0.070104		yes	0.067211	
arbiter_on_inpchange_pb_2_pe_.ltl	yes	0.082138		yes	0.078543	
arbiter_on_inpchange_pb_3_pe_.ltl	yes	0.082818		yes	0.082233	
arbiter_on_inpchange_pb_4_pe_.ltl	yes	0.092681		yes	0.087313	
arbiter_on_inpchange_pb_5_pe_.ltl	yes	0.086152		yes	0.087227	
arbiter_on_inpchange_pb_6_pe_.ltl	yes	0.093692		yes	0.088676	
arbiter_on_inpchange_pb_7_pe_.ltl	yes	0.098598		yes	0.096312	
arbiter_pb_10_pe_.ltl	yes	0.083765		yes	0.088045	
arbiter_pb_1_pe_.ltl	yes	0.066206		yes	0.069117	
arbiter_pb_2_pe_.ltl	yes	0.075238		yes	0.073507	
arbiter_pb_3_pe_.ltl	yes	0.071311		yes	0.070162	
arbiter_pb_4_pe_.ltl	yes	0.078218		yes	0.070163	
arbiter_pb_5_pe_.ltl	yes	0.077079		yes	0.077832	
arbiter_pb_6_pe_.ltl	yes	0.079378		yes	0.113409	
arbiter_pb_7_pe_.ltl	yes	0.078801		yes	0.079546	
arbiter_pb_8_pe_.ltl	yes	0.080169		yes	0.079478	
arbiter_pb_9_pe_.ltl	yes	0.087371		yes	0.083568	
arbiter_with_buffer_pb_10_pe_.ltl	yes	0.084492		yes	0.080223	
arbiter_with_buffer_pb_1_pe_.ltl	yes	0.061476		yes	0.073088	
arbiter_with_buffer_pb_2_pe_.ltl	yes	0.064365		yes	0.068204	
arbiter_with_buffer_pb_3_pe_.ltl	yes	0.072403		yes	0.069664	
arbiter_with_buffer_pb_4_pe_.ltl	yes	0.068411		yes	0.073720	
arbiter_with_buffer_pb_5_pe_.ltl	yes	0.067599		yes	0.068636	
arbiter_with_buffer_pb_6_pe_.ltl	yes	0.079990		yes	0.072475	
arbiter_with_buffer_pb_7_pe_.ltl	yes	0.076389		yes	0.070071	
arbiter_with_buffer_pb_8_pe_.ltl	yes	0.075702		yes	0.075740	
arbiter_with_buffer_pb_9_pe_.ltl	yes	0.078880		yes	0.080560	
arbiter_with_cancel_pb_10_pe_.ltl	yes	0.101245		yes	0.096405	
arbiter_with_cancel_pb_1_pe_.ltl	yes	0.072746		yes	0.068676	
arbiter_with_cancel_pb_2_pe_.ltl	yes	0.069989		yes	0.071046	
arbiter_with_cancel_pb_3_pe_.ltl	yes	0.076098		yes	0.077169	
arbiter_with_cancel_pb_4_pe_.ltl	yes	0.081603		yes	0.082741	
arbiter_with_cancel_pb_5_pe_.ltl	yes	0.080063		yes	0.087297	
arbiter_with_cancel_pb_6_pe_.ltl	yes	0.151499		yes	0.096484	
arbiter_with_cancel_pb_7_pe_.ltl	yes	0.098851		yes	0.102272	
arbiter_with_cancel_pb_8_pe_.ltl	yes	0.101782		yes	0.094798	
arbiter_with_cancel_pb_9_pe_.ltl	yes	0.101811		yes	0.100673	
batch-arbiter-real.ltl	no	0.066710	unsupported_or_failed	no	0.070433	unsupported_or_failed
box-limited-real.ltl	no	0.070173	unsupported_or_failed	no	0.068604	unsupported_or_failed
box-real.ltl	no	0.069183	unsupported_or_failed	no	0.073464	unsupported_or_failed
box0.ltl	no	0.068781	unsupported_or_failed	no	0.068754	unsupported_or_failed
box1.ltl	no	0.070803	unsupported_or_failed	no	0.070034	unsupported_or_failed
buffer-storage-real.ltl	no	0.069587	unsupported_or_failed	no	0.073561	unsupported_or_failed
chain-4-real.ltl	no	0.069691	unsupported_or_failed	no	0.071812	unsupported_or_failed
chain-5-real.ltl	no	0.072062	unsupported_or_failed	no	0.077828	unsupported_or_failed
chain-60.ltl	no	0.076376	unsupported_or_failed	no	0.079770	unsupported_or_failed
chain-70.ltl	no	0.081529	unsupported_or_failed	no	0.083605	unsupported_or_failed
chain-simple-10-real.ltl	no	0.072370	unsupported_or_failed	no	0.074952	unsupported_or_failed
chain-simple-20-real.ltl	no	0.075905	unsupported_or_failed	no	0.080774	unsupported_or_failed
chain-simple-30-real.ltl	no	0.077966	unsupported_or_failed	no	0.079508	unsupported_or_failed
chain-simple-40-real.ltl	no	0.084856	unsupported_or_failed	no	0.082631	unsupported_or_failed
chain-simple-5-real.ltl	no	0.067154	unsupported_or_failed	no	0.067960	unsupported_or_failed
chain-simple-50-real.ltl	no	0.090068	unsupported_or_failed	no	0.086604	unsupported_or_failed
chain-simple-60-real.ltl	no	0.092435	unsupported_or_failed	no	0.096352	unsupported_or_failed
chain-simple-70-real.ltl	no	0.089301	unsupported_or_failed	no	0.092913	unsupported_or_failed
chain-simple-param-70-real.ltl	no	0.073552	unsupported_or_failed	no	0.072985	unsupported_or_failed
chomp_pb_2_2_pe_.ltl	yes	0.198973		yes	0.213121	
chomp_pb_2_3_pe_.ltl	no	0.855128	budget_exhausted	no	1.005036	budget_exhausted
chomp_pb_2_4_pe_.ltl	no	0.859587	budget_exhausted	no	1.009671	budget_exhausted
chomp_pb_2_5_pe_.ltl	no	0.861679	budget_exhausted	no	1.008430	budget_exhausted
chomp_pb_2_6_pe_.ltl	no	0.858640	budget_exhausted	no	1.012272	budget_exhausted
chomp_pb_3_2_pe_.ltl	no	0.855165	budget_exhausted	no	1.007476	budget_exhausted
chomp_pb_3_3_pe_.ltl	no	0.858533	budget_exhausted	no	1.008753	budget_exhausted
chomp_pb_3_4_pe_.ltl	no	0.858895	budget_exhausted	no	1.008737	budget_exhausted
chomp_pb_3_5_pe_.ltl	no	0.856057	budget_exhausted	no	1.005337	budget_exhausted
chomp_pb_3_6_pe_.ltl	no	0.855879	budget_exhausted	no	1.006266	budget_exhausted
chomp_pb_4_2_pe_.ltl	no	0.857586	budget_exhausted	no	1.008481	budget_exhausted
chomp_pb_4_3_pe_.ltl	no	0.859760	budget_exhausted	no	1.008564	budget_exhausted
chomp_pb_4_4_pe_.ltl	no	0.855236	budget_exhausted	no	1.005461	budget_exhausted
chomp_pb_4_5_pe_.ltl	no	0.860584	budget_exhausted	no	1.007903	budget_exhausted
chomp_pb_4_6_pe_.ltl	no	0.856918	budget_exhausted	no	1.008817	budget_exhausted
collector_v1_pb_11_pe_.ltl	no	0.887039	budget_exhausted	no	1.022854	budget_exhausted
collector_v1_pb_12_pe_.ltl	no	0.869971	budget_exhausted	no	1.033554	budget_exhausted
collector_v1_pb_13_pe_.ltl	no	0.866765	budget_exhausted	no	1.047365	budget_exhausted
collector_v1_pb_14_pe_.ltl	no	0.870851	budget_exhausted	no	1.017159	budget_exhausted
collector_v1_pb_15_pe_.ltl	no	0.853357	budget_exhausted	no	1.003455	budget_exhausted
collector_v1_pb_3_pe_.ltl	yes	0.077960		yes	0.083652	
collector_v1_pb_5_pe_.ltl	no	0.854693	budget_exhausted	no	1.004221	budget_exhausted
collector_v1_pb_7_pe_.ltl	no	0.856247	budget_exhausted	no	1.005440	budget_exhausted
collector_v1_pb_9_pe_.ltl	no	0.857772	budget_exhausted	no	1.006873	budget_exhausted
collector_v2_pb_10_pe_.ltl	no	0.853866	budget_exhausted	no	1.003521	budget_exhausted
collector_v2_pb_11_pe_.ltl	no	0.854893	budget_exhausted	no	1.003810	budget_exhausted
collector_v2_pb_12_pe_.ltl	no	0.853656	budget_exhausted	no	1.003779	budget_exhausted
collector_v2_pb_13_pe_.ltl	no	0.853705	budget_exhausted	no	1.004493	budget_exhausted
collector_v2_pb_15_pe_.ltl	no	0.852993	budget_exhausted	no	1.002876	budget_exhausted
collector_v2_pb_27_pe_.ltl	no	0.855251	budget_exhausted	no	1.005574	budget_exhausted
collector_v2_pb_3_pe_.ltl	no	0.080231	unsupported_or_failed	no	0.086466	unsupported_or_failed
collector_v2_pb_5_pe_.ltl	no	0.858549	budget_exhausted	no	0.906527	unsupported_or_failed
collector_v2_pb_7_pe_.ltl	no	0.854252	budget_exhausted	no	1.006953	budget_exhausted
collector_v2_pb_9_pe_.ltl	no	0.855466	budget_exhausted	no	1.005370	budget_exhausted
collector_v3_pb_10_pe_.ltl	no	0.853605	budget_exhausted	no	1.004157	budget_exhausted
collector_v3_pb_11_pe_.ltl	no	0.853877	budget_exhausted	no	1.005172	budget_exhausted
collector_v3_pb_12_pe_.ltl	no	0.854154	budget_exhausted	no	1.004718	budget_exhausted
collector_v3_pb_13_pe_.ltl	no	0.853858	budget_exhausted	no	1.004080	budget_exhausted
collector_v3_pb_15_pe_.ltl	no	0.855003	budget_exhausted	no	1.005082	budget_exhausted
collector_v3_pb_3_pe_.ltl	yes	0.098119		yes	0.106019	
collector_v3_pb_5_pe_.ltl	no	0.854767	budget_exhausted	no	1.003837	budget_exhausted
collector_v3_pb_7_pe_.ltl	no	0.866376	budget_exhausted	no	1.015766	budget_exhausted
collector_v3_pb_9_pe_.ltl	no	0.857170	budget_exhausted	no	1.004857	budget_exhausted
diagonal-real.ltl	no	0.066700	unsupported_or_failed	no	0.067574	unsupported_or_failed
door_locking_problem_d6c5ac79.ltl	no	0.171254	unsupported_or_failed	no	0.172744	unsupported_or_failed
elevator-paper-real.ltl	no	0.067700	unsupported_or_failed	no	0.064333	unsupported_or_failed
evasion-real.ltl	no	0.070910	unsupported_or_failed	no	0.069220	unsupported_or_failed
evasion0.ltl	no	0.070566	unsupported_or_failed	no	0.068666	unsupported_or_failed
example10_pb_1_pe_.ltl	yes	0.068880		yes	0.064453	
example10_pb_2_pe_.ltl	yes	0.066936		yes	0.064530	
example10a_pb_1_pe_.ltl	yes	0.067795		yes	0.067808	
example10a_pb_2_pe_.ltl	yes	0.069640		yes	0.072675	
example7_pb_1_pe_.ltl	yes	0.067080		yes	0.065291	
example7_pb_2_pe_.ltl	yes	0.068182		yes	0.066607	
example7a_pb_1_pe_.ltl	yes	0.064511		yes	0.067727	
example7a_pb_2_pe_.ltl	yes	0.067880		yes	0.069172	
example8_pb_1_pe_.ltl	yes	0.064055		yes	0.069808	
example8_pb_2_pe_.ltl	yes	0.072833		yes	0.068338	
example9_pb_1_pe_.ltl	yes	0.065393		yes	0.068132	
example9_pb_2_pe_.ltl	yes	0.069189		yes	0.066919	
f-real-real.ltl	no	0.071173	unsupported_or_failed	no	0.071116	unsupported_or_failed
f-unreal-unreal.ltl	no	0.066326	unsupported_or_failed	no	0.068075	unsupported_or_failed
finding_nemo_pb_1_pe_.ltl	no	0.859666	budget_exhausted	no	1.011708	budget_exhausted
finding_nemo_pb_2_pe_.ltl	no	0.855945	budget_exhausted	no	1.004058	budget_exhausted
finding_nemo_pb_3_pe_.ltl	no	0.854480	budget_exhausted	no	1.004300	budget_exhausted
finding_nemo_pb_4_pe_.ltl	no	0.854307	budget_exhausted	no	1.003620	budget_exhausted
finding_nemo_pb_5_pe_.ltl	no	0.853879	budget_exhausted	no	1.003792	budget_exhausted
finding_nemo_pb_6_pe_.ltl	no	0.855723	budget_exhausted	no	1.006205	budget_exhausted
finding_nemo_pb_7_pe_.ltl	no	0.856972	budget_exhausted	no	1.007415	budget_exhausted
follow0.ltl	no	0.116050	unsupported_or_failed	no	0.115118	unsupported_or_failed
follow1.ltl	no	0.130996	unsupported_or_failed	no	0.122792	unsupported_or_failed
follow2.ltl	no	0.142899	unsupported_or_failed	no	0.144366	unsupported_or_failed
follow3.ltl	no	0.158572	unsupported_or_failed	no	0.164777	unsupported_or_failed
full_arbiter_enc_pb_10_pe_.ltl	yes	0.130890		yes	0.179039	
full_arbiter_enc_pb_12_pe_.ltl	yes	0.156659		yes	0.143060	
full_arbiter_enc_pb_8_pe_.ltl	yes	0.106767		yes	0.110975	
full_arbiter_unreal1_pb_2_10_pe_.ltl	no	0.061615	unsupported_or_failed	no	0.062071	unsupported_or_failed
full_arbiter_unreal1_pb_2_11_pe_.ltl	no	0.063078	unsupported_or_failed	no	0.062061	unsupported_or_failed
full_arbiter_unreal1_pb_2_12_pe_.ltl	no	0.063618	unsupported_or_failed	no	0.062153	unsupported_or_failed
full_arbiter_unreal1_pb_2_13_pe_.ltl	no	0.064987	unsupported_or_failed	no	0.059826	unsupported_or_failed
full_arbiter_unreal1_pb_2_14_pe_.ltl	no	0.063834	unsupported_or_failed	no	0.060019	unsupported_or_failed
full_arbiter_unreal1_pb_2_15_pe_.ltl	no	0.065150	unsupported_or_failed	no	0.064957	unsupported_or_failed
full_arbiter_unreal1_pb_2_16_pe_.ltl	no	0.061378	unsupported_or_failed	no	0.066139	unsupported_or_failed
full_arbiter_unreal1_pb_2_18_pe_.ltl	no	0.062701	unsupported_or_failed	no	0.064273	unsupported_or_failed
full_arbiter_unreal1_pb_2_1_pe_.ltl	no	0.062275	unsupported_or_failed	no	0.062608	unsupported_or_failed
full_arbiter_unreal1_pb_2_20_pe_.ltl	no	0.063921	unsupported_or_failed	no	0.064687	unsupported_or_failed
full_arbiter_unreal1_pb_2_21_pe_.ltl	no	0.063423	unsupported_or_failed	no	0.065438	unsupported_or_failed
full_arbiter_unreal1_pb_2_22_pe_.ltl	no	0.062262	unsupported_or_failed	no	0.062437	unsupported_or_failed
full_arbiter_unreal1_pb_2_24_pe_.ltl	no	0.060271	unsupported_or_failed	no	0.061746	unsupported_or_failed
full_arbiter_unreal1_pb_2_26_pe_.ltl	no	0.064133	unsupported_or_failed	no	0.064191	unsupported_or_failed
full_arbiter_unreal1_pb_2_2_pe_.ltl	no	0.063159	unsupported_or_failed	no	0.062082	unsupported_or_failed
full_arbiter_unreal1_pb_2_3_pe_.ltl	no	0.066773	unsupported_or_failed	no	0.060721	unsupported_or_failed
full_arbiter_unreal1_pb_2_4_pe_.ltl	no	0.061828	unsupported_or_failed	no	0.064737	unsupported_or_failed
full_arbiter_unreal1_pb_2_5_pe_.ltl	no	0.060374	unsupported_or_failed	no	0.062190	unsupported_or_failed
full_arbiter_unreal1_pb_2_6_pe_.ltl	no	0.068647	unsupported_or_failed	no	0.063917	unsupported_or_failed
full_arbiter_unreal1_pb_2_7_pe_.ltl	no	0.065467	unsupported_or_failed	no	0.065542	unsupported_or_failed
full_arbiter_unreal1_pb_2_8_pe_.ltl	no	0.064997	unsupported_or_failed	no	0.061287	unsupported_or_failed
full_arbiter_unreal1_pb_2_9_pe_.ltl	no	0.063970	unsupported_or_failed	no	0.061236	unsupported_or_failed
full_arbiter_unreal1_pb_3_10_pe_.ltl	no	0.067772	unsupported_or_failed	no	0.061028	unsupported_or_failed
full_arbiter_unreal1_pb_3_11_pe_.ltl	no	0.065619	unsupported_or_failed	no	0.064217	unsupported_or_failed
full_arbiter_unreal1_pb_3_12_pe_.ltl	no	0.062983	unsupported_or_failed	no	0.062538	unsupported_or_failed
full_arbiter_unreal1_pb_3_13_pe_.ltl	no	0.062329	unsupported_or_failed	no	0.065587	unsupported_or_failed
full_arbiter_unreal1_pb_3_14_pe_.ltl	no	0.061105	unsupported_or_failed	no	0.064861	unsupported_or_failed
full_arbiter_unreal1_pb_3_15_pe_.ltl	no	0.060995	unsupported_or_failed	no	0.062033	unsupported_or_failed
full_arbiter_unreal1_pb_3_1_pe_.ltl	no	0.062414	unsupported_or_failed	no	0.067443	unsupported_or_failed
full_arbiter_unreal1_pb_3_2_pe_.ltl	no	0.061443	unsupported_or_failed	no	0.062862	unsupported_or_failed
full_arbiter_unreal1_pb_3_3_pe_.ltl	no	0.060866	unsupported_or_failed	no	0.068868	unsupported_or_failed
full_arbiter_unreal1_pb_3_4_pe_.ltl	no	0.061065	unsupported_or_failed	no	0.063942	unsupported_or_failed
full_arbiter_unreal1_pb_3_5_pe_.ltl	no	0.063409	unsupported_or_failed	no	0.066119	unsupported_or_failed
full_arbiter_unreal1_pb_3_6_pe_.ltl	no	0.063336	unsupported_or_failed	no	0.063327	unsupported_or_failed
full_arbiter_unreal1_pb_3_7_pe_.ltl	no	0.064798	unsupported_or_failed	no	0.063126	unsupported_or_failed
full_arbiter_unreal1_pb_3_8_pe_.ltl	no	0.063315	unsupported_or_failed	no	0.064690	unsupported_or_failed
full_arbiter_unreal1_pb_3_9_pe_.ltl	no	0.063013	unsupported_or_failed	no	0.064494	unsupported_or_failed
full_arbiter_unreal1_pb_4_1_pe_.ltl	no	0.065427	unsupported_or_failed	no	0.061000	unsupported_or_failed
full_arbiter_unreal1_pb_4_2_pe_.ltl	no	0.063126	unsupported_or_failed	no	0.064003	unsupported_or_failed
full_arbiter_unreal1_pb_4_3_pe_.ltl	no	0.063559	unsupported_or_failed	no	0.065397	unsupported_or_failed
full_arbiter_unreal1_pb_4_4_pe_.ltl	no	0.067109	unsupported_or_failed	no	0.062410	unsupported_or_failed
full_arbiter_unreal1_pb_4_5_pe_.ltl	no	0.064449	unsupported_or_failed	no	0.065387	unsupported_or_failed
full_arbiter_unreal1_pb_4_6_pe_.ltl	no	0.061142	unsupported_or_failed	no	0.066476	unsupported_or_failed
full_arbiter_unreal1_pb_4_7_pe_.ltl	no	0.062774	unsupported_or_failed	no	0.060326	unsupported_or_failed
full_arbiter_unreal1_pb_4_8_pe_.ltl	no	0.066744	unsupported_or_failed	no	0.061649	unsupported_or_failed
full_arbiter_unreal1_pb_6_8_pe_.ltl	no	0.065718	unsupported_or_failed	no	0.063635	unsupported_or_failed
full_arbiter_unreal2_pb_2_pe_.ltl	yes	0.067010		yes	0.069788	
full_arbiter_unreal2_pb_3_pe_.ltl	yes	0.075792		yes	0.074989	
full_arbiter_unreal2_pb_4_pe_.ltl	yes	0.076615		yes	0.084743	
full_arbiter_unreal2_pb_5_pe_.ltl	yes	0.088175		yes	0.085957	
full_arbiter_unreal2_pb_6_pe_.ltl	yes	0.092371		yes	0.091474	
full_arbiter_unreal2_pb_7_pe_.ltl	yes	0.098130		yes	0.101684	
g-real-real.ltl	no	0.070984	unsupported_or_failed	no	0.072221	unsupported_or_failed
g-real0.ltl	no	0.069114	unsupported_or_failed	no	0.071311	unsupported_or_failed
g-unreal-1-unreal.ltl	no	0.074135	unsupported_or_failed	no	0.078146	unsupported_or_failed
g-unreal-10.ltl	no	0.067303	unsupported_or_failed	no	0.071248	unsupported_or_failed
g-unreal-11.ltl	no	0.065126	unsupported_or_failed	no	0.065442	unsupported_or_failed
g-unreal-110.ltl	no	0.073085	unsupported_or_failed	no	0.071245	unsupported_or_failed
g-unreal-111.ltl	no	0.071258	unsupported_or_failed	no	0.070617	unsupported_or_failed
g-unreal-112.ltl	no	0.078155	unsupported_or_failed	no	0.070028	unsupported_or_failed
g-unreal-113.ltl	no	0.072007	unsupported_or_failed	no	0.074143	unsupported_or_failed
g-unreal-114.ltl	no	0.070922	unsupported_or_failed	no	0.075028	unsupported_or_failed
g-unreal-115.ltl	no	0.075905	unsupported_or_failed	no	0.073258	unsupported_or_failed
g-unreal-116.ltl	no	0.073239	unsupported_or_failed	no	0.076714	unsupported_or_failed
g-unreal-117.ltl	no	0.078244	unsupported_or_failed	no	0.073184	unsupported_or_failed
g-unreal-118.ltl	no	0.075932	unsupported_or_failed	no	0.077772	unsupported_or_failed
g-unreal-119.ltl	no	0.078504	unsupported_or_failed	no	0.077566	unsupported_or_failed
g-unreal-12.ltl	no	0.067763	unsupported_or_failed	no	0.067142	unsupported_or_failed
g-unreal-120.ltl	no	0.082351	unsupported_or_failed	no	0.084884	unsupported_or_failed
g-unreal-13.ltl	no	0.068989	unsupported_or_failed	no	0.067204	unsupported_or_failed
g-unreal-14.ltl	no	0.070810	unsupported_or_failed	no	0.067499	unsupported_or_failed
g-unreal-15.ltl	no	0.067312	unsupported_or_failed	no	0.067297	unsupported_or_failed
g-unreal-16.ltl	no	0.070008	unsupported_or_failed	no	0.067104	unsupported_or_failed
g-unreal-17.ltl	no	0.068436	unsupported_or_failed	no	0.074823	unsupported_or_failed
g-unreal-18.ltl	no	0.069724	unsupported_or_failed	no	0.070115	unsupported_or_failed
g-unreal-19.ltl	no	0.074650	unsupported_or_failed	no	0.071302	unsupported_or_failed
g-unreal-20.ltl	no	0.204637	unsupported_or_failed	no	0.200980	unsupported_or_failed
g-unreal-21.ltl	no	0.683513	unsupported_or_failed	no	0.670924	unsupported_or_failed
g-unreal-30.ltl	no	0.068055	unsupported_or_failed	no	0.068750	unsupported_or_failed
g-unreal-31.ltl	no	0.068556	unsupported_or_failed	no	0.069970	unsupported_or_failed
g-unreal-310.ltl	no	0.099578	unsupported_or_failed	no	0.099873	unsupported_or_failed
g-unreal-311.ltl	no	0.103881	unsupported_or_failed	no	0.109915	unsupported_or_failed
g-unreal-312.ltl	no	0.109001	unsupported_or_failed	no	0.108579	unsupported_or_failed
g-unreal-313.ltl	no	0.111891	unsupported_or_failed	no	0.117978	unsupported_or_failed
g-unreal-314.ltl	no	0.121568	unsupported_or_failed	no	0.125393	unsupported_or_failed
g-unreal-32.ltl	no	0.070207	unsupported_or_failed	no	0.069803	unsupported_or_failed
g-unreal-33.ltl	no	0.073578	unsupported_or_failed	no	0.075963	unsupported_or_failed
g-unreal-34.ltl	no	0.078567	unsupported_or_failed	no	0.081381	unsupported_or_failed
g-unreal-35.ltl	no	0.082033	unsupported_or_failed	no	0.080323	unsupported_or_failed
g-unreal-36.ltl	no	0.081177	unsupported_or_failed	no	0.081139	unsupported_or_failed
g-unreal-37.ltl	no	0.084871	unsupported_or_failed	no	0.082589	unsupported_or_failed
g-unreal-38.ltl	no	0.091590	unsupported_or_failed	no	0.089795	unsupported_or_failed
g-unreal-39.ltl	no	0.096509	unsupported_or_failed	no	0.097940	unsupported_or_failed
generalized_buffer_pb_2_pe_.ltl	no	0.076596	unsupported_or_failed	no	0.080241	unsupported_or_failed
generalized_buffer_pb_3_pe_.ltl	no	0.075010	unsupported_or_failed	no	0.071484	unsupported_or_failed
generalized_buffer_pb_4_pe_.ltl	no	0.074277	unsupported_or_failed	no	0.073048	unsupported_or_failed
generalized_buffer_pb_5_pe_.ltl	no	0.079155	unsupported_or_failed	no	0.073775	unsupported_or_failed
generalized_buffer_pb_6_pe_.ltl	no	0.073312	unsupported_or_failed	no	0.079482	unsupported_or_failed
gf-real-real.ltl	no	0.064071	unsupported_or_failed	no	0.066630	unsupported_or_failed
gf-unreal0.ltl	no	0.065192	unsupported_or_failed	no	0.066463	unsupported_or_failed
gf-unreal1.ltl	no	0.065193	unsupported_or_failed	no	0.068379	unsupported_or_failed
gf-unreal10.ltl	no	0.071770	unsupported_or_failed	no	0.069185	unsupported_or_failed
gf-unreal11.ltl	no	0.067340	unsupported_or_failed	no	0.067318	unsupported_or_failed
gf-unreal12.ltl	no	0.071633	unsupported_or_failed	no	0.069596	unsupported_or_failed
gf-unreal13.ltl	no	0.071368	unsupported_or_failed	no	0.072721	unsupported_or_failed
gf-unreal14.ltl	no	0.068377	unsupported_or_failed	no	0.073873	unsupported_or_failed
gf-unreal15.ltl	no	0.073829	unsupported_or_failed	no	0.073508	unsupported_or_failed
gf-unreal16.ltl	no	0.070960	unsupported_or_failed	no	0.069998	unsupported_or_failed
gf-unreal17.ltl	no	0.074706	unsupported_or_failed	no	0.069083	unsupported_or_failed
gf-unreal18.ltl	no	0.071876	unsupported_or_failed	no	0.072694	unsupported_or_failed
gf-unreal19.ltl	no	0.072513	unsupported_or_failed	no	0.069692	unsupported_or_failed
gf-unreal2.ltl	no	0.071210	unsupported_or_failed	no	0.065366	unsupported_or_failed
gf-unreal20.ltl	no	0.070848	unsupported_or_failed	no	0.071972	unsupported_or_failed
