instance	result	exit_code	seconds	cap_s
amba_case_study_unreal_pb_5_pe_.ltl	TIMEOUT	124	17.09324196899979	17
amba_decomposed_arbiter_pb_10_pe_.ltl	TIMEOUT	124	17.089073579001706	17
amba_decomposed_arbiter_pb_11_pe_.ltl	TIMEOUT	124	17.093316958002106	17
amba_decomposed_arbiter_pb_12_pe_.ltl	TIMEOUT	124	17.093746833001205	17
amba_decomposed_arbiter_pb_13_pe_.ltl	TIMEOUT	124	17.090006951999385	17
amba_decomposed_arbiter_pb_2_pe_.ltl	REALIZABLE	0	0.03337608899892075	17
amba_decomposed_arbiter_pb_3_pe_.ltl	REALIZABLE	0	0.027216089998546522	17
amba_decomposed_arbiter_pb_4_pe_.ltl	REALIZABLE	0	0.037567273997410666	17
amba_decomposed_arbiter_pb_5_pe_.ltl	REALIZABLE	0	0.13428665699757403	17
amba_decomposed_arbiter_pb_6_pe_.ltl	REALIZABLE	0	1.0618940860003931	17
amba_decomposed_arbiter_pb_7_pe_.ltl	TIMEOUT	124	17.037088186996698	17
amba_decomposed_arbiter_pb_8_pe_.ltl	TIMEOUT	124	17.03702189300384	17
amba_decomposed_arbiter_pb_9_pe_.ltl	TIMEOUT	124	17.050432506002835	17
amba_decomposed_decode.ltl	REALIZABLE	0	0.021382753999205306	17
amba_decomposed_encode_pb_10_pe_.ltl	REALIZABLE	0	0.0521507509984076	17
amba_decomposed_encode_pb_11_pe_.ltl	REALIZABLE	0	0.056564521000836976	17
amba_decomposed_encode_pb_12_pe_.ltl	REALIZABLE	0	0.05975500199565431	17
amba_decomposed_encode_pb_13_pe_.ltl	REALIZABLE	0	0.06816347500716802	17
amba_decomposed_encode_pb_14_pe_.ltl	REALIZABLE	0	0.14477460700436495	17
amba_decomposed_encode_pb_15_pe_.ltl	REALIZABLE	0	0.3234404499962693	17
amba_decomposed_encode_pb_16_pe_.ltl	REALIZABLE	0	0.965992115001427	17
amba_decomposed_encode_pb_20_pe_.ltl	TIMEOUT	124	17.093506668999908	17
amba_decomposed_encode_pb_25_pe_.ltl	TIMEOUT	124	17.086164585001825	17
amba_decomposed_encode_pb_2_pe_.ltl	REALIZABLE	0	0.019182172996806912	17
amba_decomposed_encode_pb_3_pe_.ltl	REALIZABLE	0	0.019976570998551324	17
amba_decomposed_encode_pb_4_pe_.ltl	REALIZABLE	0	0.018184148997534066	17
amba_decomposed_encode_pb_5_pe_.ltl	REALIZABLE	0	0.018653396997251548	17
amba_decomposed_encode_pb_6_pe_.ltl	REALIZABLE	0	0.04094130300654797	17
amba_decomposed_encode_pb_7_pe_.ltl	REALIZABLE	0	0.0425410220050253	17
amba_decomposed_encode_pb_8_pe_.ltl	REALIZABLE	0	0.04253476199664874	17
amba_decomposed_encode_pb_9_pe_.ltl	REALIZABLE	0	0.043128222998348065	17
amba_decomposed_lock_pb_10_pe_.ltl	REALIZABLE	0	0.4731683370046085	17
amba_decomposed_lock_pb_11_pe_.ltl	REALIZABLE	0	1.8315870980004547	17
amba_decomposed_lock_pb_12_pe_.ltl	REALIZABLE	0	7.048135449003894	17
