instance	n_result	n_seconds	b_epoch1_result	b_epoch1_seconds	b_epoch2_result	b_epoch2_seconds	change_vs_b_epoch1	b_epoch2_vs_epoch1	seconds_delta_vs_b_epoch1	memory_peak_delta_bytes	winner
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	60.12916761694942	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	60.129689206019975	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	60.104702914948575	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_2_pe_.ltl	TIMEOUT	60.08001470391173	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_3_pe_.ltl	TIMEOUT	60.092975034960546	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_4_pe_.ltl	TIMEOUT	60.13775979203638	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_5_pe_.ltl	TIMEOUT	60.13625272503123	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_10_pe_.ltl	REALIZABLE	1.1153097910573706	REALIZABLE	0.47215671700178063	REALIZABLE	0.4776400809932966	same	same	0.643153		lifting
amba_decomposed_lock_pb_11_pe_.ltl	REALIZABLE	1.3527716380776837	REALIZABLE	1.8930920210041222	REALIZABLE	1.8466349630034529	same	same	-0.540320		lifting
amba_decomposed_lock_pb_12_pe_.ltl	REALIZABLE	1.734894298017025	REALIZABLE	7.084361741002795	REALIZABLE	7.236327463993803	same	same	-5.349467		lifting
amba_decomposed_lock_pb_13_pe_.ltl	REALIZABLE	2.6204488140065223	REALIZABLE	24.294208625000465	REALIZABLE	23.597639886997058	same	same	-21.673760		lifting
amba_decomposed_lock_pb_14_pe_.ltl	REALIZABLE	5.0019257980166	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
amba_decomposed_lock_pb_15_pe_.ltl	REALIZABLE	12.751414358965121	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	60.13432658603415	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	60.09284952096641	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_5_pe_.ltl	REALIZABLE	0.8742586850421503	REALIZABLE	0.018871278000005987	REALIZABLE	0.023189369007013738	same	same	0.855387		lifting
amba_decomposed_lock_pb_6_pe_.ltl	REALIZABLE	0.9253904030192643	REALIZABLE	0.023491975000069942	REALIZABLE	0.02255314600188285	same	same	0.901898		lifting
amba_decomposed_lock_pb_7_pe_.ltl	REALIZABLE	0.9326351910131052	REALIZABLE	0.05076355000346666	REALIZABLE	0.048264188997563906	same	same	0.881872		lifting
amba_decomposed_lock_pb_8_pe_.ltl	REALIZABLE	0.9751211409457028	REALIZABLE	0.057455502999800956	REALIZABLE	0.062104301003273576	same	same	0.917666		lifting
amba_decomposed_lock_pb_9_pe_.ltl	REALIZABLE	1.0047116540372372	REALIZABLE	0.13729652599431574	REALIZABLE	0.15309313999023288	same	same	0.867415		lifting
arbiter_on_inpchange_pb_5_pe_.ltl	REALIZABLE	6.288415445014834	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_on_inpchange_pb_6_pe_.ltl	REALIZABLE	15.999962572008371	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_on_inpchange_pb_7_pe_.ltl	TIMEOUT	60.09657222905662	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
arbiter_pb_10_pe_.ltl	REALIZABLE	2.5831242279382423	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_5_pe_.ltl	REALIZABLE	1.071060013025999	REALIZABLE	0.36535575200105086	REALIZABLE	0.3935468639974715	same	same	0.705704		lifting
arbiter_pb_6_pe_.ltl	REALIZABLE	1.2649403200484812	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_7_pe_.ltl	REALIZABLE	1.4477791469544172	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_8_pe_.ltl	REALIZABLE	1.7162048839963973	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_9_pe_.ltl	REALIZABLE	2.14095983793959	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_with_buffer_pb_10_pe_.ltl	REALIZABLE	36.50541485694703	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_with_buffer_pb_5_pe_.ltl	REALIZABLE	0.8802546230144799	REALIZABLE	0.9198862979974365	REALIZABLE	0.9445107460196596	same	same	-0.039632		lifting
arbiter_with_buffer_pb_6_pe_.ltl	REALIZABLE	1.032037538010627	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_with_buffer_pb_7_pe_.ltl	REALIZABLE	1.4616630700184032	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_with_buffer_pb_8_pe_.ltl	REALIZABLE	2.9324393960414454	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
