instance	label	result	seconds	primary_result	primary_seconds	raw_sha256	journal_sha256
06.ltl	main-best_four_arm_contradiction	REALIZABLE	18.97793156397529	REALIZABLE	16.99102364599821	db6b8ffd16d4b6f42c324bbbac4481a5ca079ea6d1cb0e29dea50d533c2d27ba	948ffe38024108dc151cec609532b30c95278a43f80fbc229a1b5186208f3140
06.ltl	otf_sparse_automaton	REALIZABLE	17.340570423053578	TIMEOUT	17.032632223999826	4728728bc36ecbff1365896a72409488e1296598075332955557d282eaaeb252	cc878a67743af81f6560f4b49a2b0299cc20c53c1515128ef605c7a71fb90cf6
06.ltl	otf_sparse_formula	REALIZABLE	17.640579891973175	TIMEOUT	17.037142115994357	6ae6deabc3897cc9f4fd4152becd42ef4dc57a5905b117b18f5e93987d176caf	421b7f1bfed9039f84b9088e8e3c184239139bfc99c56f4afc2dcccb40f33ee5
infinite-race-u10.ltl	otf_sparse_formula	UNREALIZABLE	17.947595599049237	TIMEOUT	17.053394746006234	afe0687769c5715f74660693a05d188b23ee487b23660827a0b1e9ae53b0974d	fcad0fbab9de6463506bc5c5604760b068af55ad8856d307bc3e0f3530c05753
infinite-race-u10.ltl	otf_sparse_automaton	UNREALIZABLE	12.634562002960593	UNREALIZABLE	12.86015569398296	f3d077d1a87108c06c47dd254ba7f552b5b00432d95d89a391322e5cafb452a3	208ac4fb3417a3f7ca6546292c6e904125749c8a0a8eb5f47c6c679352ebc581
infinite-race-u10.ltl	main-best_four_arm_contradiction	UNREALIZABLE	12.976393215009011	UNREALIZABLE	13.279771544999676	065ccfacab2ad36997fa161d9d5acffcea447044d449d653f89dc6b820f28fea	5a64efad3837dc42f253a01f32ef7319ca4d78047c85615ee20e4424588dc06a
