instance,native_result,native_seconds,native_exit,converted_result,converted_seconds,converted_exit,comparison
ltl2dba_U1_pb_2_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_3_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_4_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_50_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_5_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_6_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_U1_pb_7_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_U1_pb_8_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_U1_pb_9_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_100_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
