revision	binary	backend	phase	repetition	cycles	perf_file
base	downset-bm-d128	vector_backed	intersection	2	180701585	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-intersection-r2.perf
base	downset-bm-d128	vector_backed	intersection	3	180262598	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-intersection-r3.perf
base	downset-bm-d128	vector_backed	intersection	4	179005668	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-intersection-r4.perf
base	downset-bm-d128	vector_backed	intersection	5	179750159	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-intersection-r5.perf
base	downset-bm-d128	vector_backed	union	1	32699627	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-union-r1.perf
base	downset-bm-d128	vector_backed	union	2	32766628	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-union-r2.perf
base	downset-bm-d128	vector_backed	union	3	32801557	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-union-r3.perf
base	downset-bm-d128	vector_backed	union	4	32950805	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-union-r4.perf
base	downset-bm-d128	vector_backed	union	5	32608081	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-union-r5.perf
base	downset-bm-d128	vector_backed	cpre	1	8469030161	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-cpre-r1.perf
base	downset-bm-d128	vector_backed	cpre	2	8486397556	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	cpre	3	8516836971	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-cpre-r3.perf
base	downset-bm-d128	vector_backed	cpre	4	8469517208	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-cpre-r4.perf
base	downset-bm-d128	vector_backed	cpre	5	8454034863	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-d128-vector_backed-cpre-r5.perf
base	simd-bm	vector_backed	simd	1	2664046	/tmp/posets-step1-stack-g2-20260811/base-simd-bm-vector_backed-simd-r1.perf
base	simd-bm	vector_backed	simd	2	2398269	/tmp/posets-step1-stack-g2-20260811/base-simd-bm-vector_backed-simd-r2.perf
base	simd-bm	vector_backed	simd	3	2485514	/tmp/posets-step1-stack-g2-20260811/base-simd-bm-vector_backed-simd-r3.perf
base	simd-bm	vector_backed	simd	4	2433730	/tmp/posets-step1-stack-g2-20260811/base-simd-bm-vector_backed-simd-r4.perf
