instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
narylatch64.ltl,both_ok,real,65,64,OK,0.041,OK,0.032,1.3
narylatch8.ltl,both_ok,real,9,8,OK,0.023,OK,0.018,1.3
prioritized_arbiter1.ltl,both_ok,real,2,2,OK,0.024,OK,0.018,1.3
prioritized_arbiter10.ltl,ltlsynt_only,real,11,11,TIMEOUT,17.051,OK,0.021,
prioritized_arbiter12.ltl,ltlsynt_only,real,13,13,TIMEOUT,17.054,OK,0.028,
prioritized_arbiter2.ltl,both_ok,real,3,3,OK,0.021,OK,0.017,1.2
prioritized_arbiter3.ltl,both_ok,real,4,4,OK,0.021,OK,0.017,1.2
prioritized_arbiter4.ltl,both_ok,real,5,5,OK,0.029,OK,0.018,1.6
prioritized_arbiter5.ltl,both_ok,real,6,6,OK,0.055,OK,0.017,3.2
prioritized_arbiter6.ltl,acacia_slow,real,7,7,OK,3.027,OK,0.019,159.6
prioritized_arbiter7.ltl,ltlsynt_only,real,8,8,TIMEOUT,17.05,OK,0.018,
prioritized_arbiter8.ltl,ltlsynt_only,real,9,9,TIMEOUT,17.052,OK,0.02,
prioritized_arbiter9.ltl,ltlsynt_only,real,10,10,TIMEOUT,17.102,OK,0.02,
prioritized_arbiter_enc10.ltl,ltlsynt_only,real,4,4,TIMEOUT,17.034,OK,5.702,
prioritized_arbiter_enc12.ltl,neither,?,4,4,TIMEOUT,17.044,TIMEOUT,17.056,
prioritized_arbiter_enc8.ltl,ltlsynt_only,real,3,4,TIMEOUT,17.043,OK,0.423,
prioritized_arbiter_unreal12_1.ltl,both_ok,unreal,3,3,OK,0.026,OK,0.017,1.5
prioritized_arbiter_unreal12_10.ltl,both_ok,unreal,3,3,OK,0.151,OK,0.022,6.8
prioritized_arbiter_unreal12_11.ltl,both_ok,unreal,3,3,OK,0.286,OK,0.02,14.2
prioritized_arbiter_unreal12_12.ltl,acacia_slow,unreal,3,3,OK,0.582,OK,0.019,31.3
prioritized_arbiter_unreal12_13.ltl,acacia_slow,unreal,3,3,OK,1.252,OK,0.018,70.9
prioritized_arbiter_unreal12_14.ltl,acacia_slow,unreal,3,3,OK,2.683,OK,0.019,144.7
prioritized_arbiter_unreal12_15.ltl,acacia_slow,unreal,3,3,OK,6.208,OK,0.018,354.5
prioritized_arbiter_unreal12_16.ltl,acacia_slow,unreal,3,3,OK,13.177,OK,0.017,762.6
prioritized_arbiter_unreal12_2.ltl,both_ok,unreal,3,3,OK,0.024,OK,0.017,1.4
prioritized_arbiter_unreal12_3.ltl,both_ok,unreal,3,3,OK,0.027,OK,0.018,1.5
prioritized_arbiter_unreal12_4.ltl,both_ok,unreal,3,3,OK,0.026,OK,0.018,1.4
prioritized_arbiter_unreal12_5.ltl,both_ok,unreal,3,3,OK,0.028,OK,0.018,1.6
prioritized_arbiter_unreal12_6.ltl,both_ok,unreal,3,3,OK,0.031,OK,0.017,1.8
prioritized_arbiter_unreal12_7.ltl,both_ok,unreal,3,3,OK,0.042,OK,0.017,2.5
prioritized_arbiter_unreal12_8.ltl,both_ok,unreal,3,3,OK,0.056,OK,0.017,3.4
prioritized_arbiter_unreal12_9.ltl,both_ok,unreal,3,3,OK,0.087,OK,0.017,5.2
prioritized_arbiter_unreal13_1.ltl,both_ok,unreal,4,4,OK,0.041,OK,0.017,2.5
prioritized_arbiter_unreal13_10.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.017,
prioritized_arbiter_unreal13_11.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.017,
prioritized_arbiter_unreal13_12.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.058,OK,0.019,
prioritized_arbiter_unreal13_13.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.058,OK,0.017,
prioritized_arbiter_unreal13_14.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.017,
prioritized_arbiter_unreal13_15.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.018,
prioritized_arbiter_unreal13_16.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.061,OK,0.019,
prioritized_arbiter_unreal13_2.ltl,both_ok,unreal,4,4,OK,0.046,OK,0.017,2.7
prioritized_arbiter_unreal13_3.ltl,both_ok,unreal,4,4,OK,0.061,OK,0.018,3.3
prioritized_arbiter_unreal13_4.ltl,both_ok,unreal,4,4,OK,0.14,OK,0.018,8.0
prioritized_arbiter_unreal13_5.ltl,acacia_slow,unreal,4,4,OK,0.688,OK,0.018,38.8
prioritized_arbiter_unreal13_6.ltl,acacia_slow,unreal,4,4,OK,3.966,OK,0.018,226.2
prioritized_arbiter_unreal13_7.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.058,OK,0.019,
prioritized_arbiter_unreal13_8.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.057,OK,0.018,
prioritized_arbiter_unreal13_9.ltl,ltlsynt_only,unreal,4,4,TIMEOUT,17.055,OK,0.018,
prioritized_arbiter_unreal14_1.ltl,both_ok,unreal,5,5,OK,0.155,OK,0.018,8.6
prioritized_arbiter_unreal14_10.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.054,OK,0.018,
prioritized_arbiter_unreal14_11.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.019,
prioritized_arbiter_unreal14_12.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.018,
prioritized_arbiter_unreal14_13.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.057,OK,0.018,
prioritized_arbiter_unreal14_14.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.019,
prioritized_arbiter_unreal14_15.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.057,OK,0.018,
prioritized_arbiter_unreal14_16.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.056,OK,0.018,
prioritized_arbiter_unreal14_2.ltl,both_ok,unreal,5,5,OK,0.222,OK,0.018,12.0
prioritized_arbiter_unreal14_3.ltl,acacia_slow,unreal,5,5,OK,0.589,OK,0.018,33.3
prioritized_arbiter_unreal14_4.ltl,acacia_slow,unreal,5,5,OK,6.641,OK,0.017,380.1
prioritized_arbiter_unreal14_5.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.057,OK,0.017,
prioritized_arbiter_unreal14_6.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.017,
prioritized_arbiter_unreal14_7.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.055,OK,0.019,
prioritized_arbiter_unreal14_8.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.057,OK,0.018,
prioritized_arbiter_unreal14_9.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.053,OK,0.018,
prioritized_arbiter_unreal15_16.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.055,OK,0.018,
prioritized_arbiter_unreal15_2.ltl,acacia_slow,unreal,6,6,OK,1.924,OK,0.017,110.1
prioritized_arbiter_unreal15_32.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.055,OK,0.021,
prioritized_arbiter_unreal15_4.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.055,OK,0.019,
prioritized_arbiter_unreal16_16.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.058,OK,0.019,
prioritized_arbiter_unreal16_2.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.053,OK,0.019,
prioritized_arbiter_unreal16_32.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.073,OK,0.02,
prioritized_arbiter_unreal16_4.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.057,OK,0.02,
prioritized_arbiter_unreal210.ltl,ltlsynt_only,unreal,11,11,TIMEOUT,17.054,OK,0.021,
prioritized_arbiter_unreal2100.ltl,ltlsynt_only,unreal,101,101,TIMEOUT,17.052,OK,0.117,
prioritized_arbiter_unreal22.ltl,both_ok,unreal,3,3,OK,0.028,OK,0.017,1.6
prioritized_arbiter_unreal23.ltl,both_ok,unreal,4,4,OK,0.083,OK,0.018,4.6
prioritized_arbiter_unreal230.ltl,ltlsynt_only,unreal,31,31,TIMEOUT,17.047,OK,0.027,
prioritized_arbiter_unreal24.ltl,acacia_slow,unreal,5,5,OK,4.559,OK,0.018,260.3
prioritized_arbiter_unreal25.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.048,OK,0.018,
prioritized_arbiter_unreal26.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.052,OK,0.019,
prioritized_arbiter_unreal260.ltl,ltlsynt_only,unreal,61,61,TIMEOUT,17.049,OK,0.053,
prioritized_arbiter_unreal27.ltl,ltlsynt_only,unreal,8,8,TIMEOUT,17.055,OK,0.018,
prioritized_arbiter_unreal28.ltl,ltlsynt_only,unreal,9,9,TIMEOUT,17.111,OK,0.018,
robot_grid2_2.ltl,ltlsynt_only,real,4,5,TIMEOUT,17.029,OK,0.566,
robot_grid3_3.ltl,neither,?,8,5,TIMEOUT,17.034,TIMEOUT,17.031,
robot_grid4_4.ltl,neither,?,8,5,TIMEOUT,17.053,TIMEOUT,17.038,
robot_grid5_1.ltl,neither,?,8,5,TIMEOUT,17.043,TIMEOUT,17.036,
robot_grid5_5.ltl,neither,?,12,5,TIMEOUT,17.125,TIMEOUT,17.033,
robot_grid6_1.ltl,neither,?,8,5,TIMEOUT,17.058,TIMEOUT,17.034,
robot_grid6_6.ltl,neither,?,12,5,TIMEOUT,17.043,TIMEOUT,17.04,
robot_grid7_7.ltl,neither,?,12,5,TIMEOUT,17.047,TIMEOUT,17.044,
