instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
simple_arbiter_unreal16_4.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.056,OK,0.017,
simple_arbiter_unreal16_5.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.056,OK,0.017,
simple_arbiter_unreal18_8.ltl,ltlsynt_only,unreal,8,8,TIMEOUT,17.097,OK,0.018,
simple_arbiter_unreal210.ltl,ltlsynt_only,unreal,10,10,TIMEOUT,17.056,OK,0.02,
simple_arbiter_unreal22.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.017,1.4
simple_arbiter_unreal225.ltl,ltlsynt_only,unreal,25,25,TIMEOUT,17.049,OK,0.024,
simple_arbiter_unreal23.ltl,both_ok,unreal,3,3,OK,0.03,OK,0.017,1.8
simple_arbiter_unreal24.ltl,acacia_slow,unreal,4,4,OK,0.509,OK,0.017,29.5
simple_arbiter_unreal25.ltl,ltlsynt_only,unreal,5,5,TIMEOUT,17.03,OK,0.019,
simple_arbiter_unreal250.ltl,ltlsynt_only,unreal,50,50,TIMEOUT,17.051,OK,0.043,
simple_arbiter_unreal26.ltl,ltlsynt_only,unreal,6,6,TIMEOUT,17.05,OK,0.018,
simple_arbiter_unreal260.ltl,ltlsynt_only,unreal,60,60,TIMEOUT,17.05,OK,0.053,
simple_arbiter_unreal27.ltl,ltlsynt_only,unreal,7,7,TIMEOUT,17.054,OK,0.019,
simple_arbiter_unreal275.ltl,ltlsynt_only,unreal,75,75,TIMEOUT,17.049,OK,0.073,
simple_arbiter_unreal28.ltl,ltlsynt_only,unreal,8,8,TIMEOUT,17.054,OK,0.018,
simple_arbiter_with_hints10.ltl,ltlsynt_only,real,10,10,TIMEOUT,17.127,OK,6.758,
simple_arbiter_with_hints2.ltl,both_ok,real,2,2,OK,0.023,OK,0.022,1.1
simple_arbiter_with_hints4.ltl,both_ok,real,4,4,OK,0.026,OK,0.022,1.1
simple_arbiter_with_hints6.ltl,ltlsynt_only,real,6,6,TIMEOUT,17.027,OK,0.04,
simple_arbiter_with_hints8.ltl,ltlsynt_only,real,8,8,TIMEOUT,17.045,OK,0.307,
test2_f2774e0b.ltl,both_ok,real,4,16,OK,0.021,OK,0.017,1.2
test3_efe2feaf.ltl,both_ok,real,4,16,OK,0.046,OK,0.018,2.6
test4_4b82b1f4.ltl,both_ok,unreal,2,8,OK,0.023,OK,0.017,1.4
test5_6cbc6174.ltl,both_ok,real,1,6,OK,0.022,OK,0.017,1.2
test6_0f5381e9.ltl,both_ok,real,1,8,OK,0.022,OK,0.018,1.2
test7_2c5b09da.ltl,both_ok,real,2,6,OK,0.022,OK,0.019,1.2
test8_88f351a6.ltl,both_ok,unreal,2,6,OK,0.021,OK,0.019,1.1
test9_dd3a27e1.ltl,both_ok,unreal,3,6,OK,0.021,OK,0.02,1.1
test_f3987563.ltl,both_ok,real,2,4,OK,0.02,OK,0.017,1.2
tmp_13cfc6f2.ltl,ltlsynt_only,real,6,7,TIMEOUT,17.032,OK,0.96,
workstation_resupply_1.ltl,both_ok,real,1,7,OK,0.031,OK,0.021,1.5
workstation_resupply_3.ltl,ltlsynt_only,real,3,11,TIMEOUT,17.03,OK,0.192,
workstation_resupply_4.ltl,ltlsynt_only,real,4,13,TIMEOUT,17.071,OK,1.895,
zoo0.ltl,both_ok,real,3,9,OK,0.028,OK,0.023,1.2
zoo10.ltl,both_ok,real,3,8,OK,0.025,OK,0.02,1.2
zoo5.ltl,both_ok,real,3,8,OK,0.026,OK,0.019,1.4
