family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
load_balancer_unreal2	load_balancer_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	22	66	exit-1	UNREALIZABLE	5.753252	UNREALIZABLE	agree	not-applicable	
prioritized_arbiter	prioritized_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	4	10	exit-0	REALIZABLE	0.011147	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	4	10	exit-0	REALIZABLE	0.011879	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	7	16	exit-0	REALIZABLE	0.012832	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	16	exit-0	REALIZABLE	0.011515	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	9	20	exit-0	REALIZABLE	0.011706	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	9	20	exit-0	REALIZABLE	0.013108	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	11	24	exit-0	REALIZABLE	0.011631	REALIZABLE	agree	VERIFIED	
prioritized_arbiter	prioritized_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	11	24	exit-0	REALIZABLE	0.017051	REALIZABLE	agree	VERIFIED	
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	8	20	exit-1	UNREALIZABLE	0.011431	UNREALIZABLE	agree	not-applicable	
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	8	20	exit-1	UNREALIZABLE	0.011772	UNREALIZABLE	agree	not-applicable	
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	12	32	exit-1	UNREALIZABLE	0.011505	UNREALIZABLE	agree	not-applicable	
