target,diag_index,diag_kind,checkpoint,wrapper_returncode,wrapper_timed_out,wrapper_stdout_bytes,wrapper_stderr_bytes,pid,instance,path,translation_pref,rsimp_ms,rsimp_changed,syntactic_bypass,syntactic_bypass_ms,translation_ms,aut_states,aut_edges,fast_class,fast_class_ms,fast_solve_ms,fast_verdict,preproc,preproc_ms,preproc_states_before,preproc_states_after,preproc_edges_before,preproc_edges_after,cap_census_ms,cap_k,cap_states_at_k,cap_states_finite,cap_states_zero,cap_counting_states,cap_finite_counting_states,simulation_census_ms,simulation_states_after,simulation_states_removed,bool_threshold,bitset_threshold,max_f,max_f_size,loops,k_attempts,cpre_ms,picker_ms,apply_ms,downset_ms,actions_seen,meets_computed,meet_batches,alphabet_input_paths,alphabet_input_nodes,alphabet_output_paths,alphabet_output_nodes,alphabet_bdd_nodes,equivariant,eq_clients,eq_blocks,eq_orbits,sym_families,sym_indices,sym_matrix,sym_subsets,sym_selected,sym_orbit_sizes,sym_blocks,sym_shared,solve_ms,total_ms,result,final_reason,source_format,tlsf_effective_target,tlsf_gr_level,tlsf_semantics,tlsf_target
FelixSpecFixed2_fa4d4ce3.ltl,6,progress,after-translation,124,1,0,8948,1144205,FelixSpecFixed2_fa4d4ce3.ltl,unreal-formula,small,2,1,fallback,0,55,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,59,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed2_fa4d4ce3.ltl,7,progress,alphabet-census,124,1,0,8948,1144205,FelixSpecFixed2_fa4d4ce3.ltl,unreal-formula,small,2,1,fallback,0,55,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138022,2,138022,2,55,not-run,0,0,0,-,-,-,-,-,-,-,-,0,59,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,1,final,final,124,1,0,8948,1144651,FelixSpecFixed3_b0840146.ltl,unreal-formula,small,2,1,fallback,0,57,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138022,2,138022,2,55,not-run,0,0,0,-,-,-,-,-,-,-,-,0,61,unknown,alphabet-census-only,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,2,progress,after-decomposition,124,1,0,8948,1144650,FelixSpecFixed3_b0840146.ltl,real,small,2,1,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,3,progress,after-rsimp,124,1,0,8948,1144650,FelixSpecFixed3_b0840146.ltl,real,small,2,1,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,4,progress,after-decomposition,124,1,0,8948,1144651,FelixSpecFixed3_b0840146.ltl,unreal-formula,small,2,1,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,5,progress,after-rsimp,124,1,0,8948,1144651,FelixSpecFixed3_b0840146.ltl,unreal-formula,small,2,1,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,6,progress,after-translation,124,1,0,8948,1144651,FelixSpecFixed3_b0840146.ltl,unreal-formula,small,2,1,fallback,0,57,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,60,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed3_b0840146.ltl,7,progress,alphabet-census,124,1,0,8948,1144651,FelixSpecFixed3_b0840146.ltl,unreal-formula,small,2,1,fallback,0,57,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138022,2,138022,2,55,not-run,0,0,0,-,-,-,-,-,-,-,-,0,61,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,1,final,final,2,0,0,12735,1144813,abcg_arbiter3.ltl,real,small,2,0,fallback,0,526,33,92,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18432,18432,204471,not-run,0,0,0,-,-,-,-,-,-,-,-,0,602,unknown,alphabet-census-only,ltl,-,-1,-,-
abcg_arbiter3.ltl,2,final,final,2,0,0,12735,1144814,abcg_arbiter3.ltl,unreal-formula,small,2,0,fallback,0,27463,10244,420235,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,257,4088,2056,726113,not-run,0,0,0,-,-,-,-,-,-,-,-,0,29921,unknown,alphabet-census-only,ltl,-,-1,-,-
abcg_arbiter3.ltl,3,progress,after-decomposition,2,0,0,12735,1144813,abcg_arbiter3.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,4,progress,after-rsimp,2,0,0,12735,1144813,abcg_arbiter3.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,5,progress,after-translation,2,0,0,12735,1144813,abcg_arbiter3.ltl,real,small,2,0,fallback,0,526,33,92,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,529,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,6,progress,alphabet-census,2,0,0,12735,1144813,abcg_arbiter3.ltl,real,small,2,0,fallback,0,526,33,92,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18432,18432,204471,not-run,0,0,0,-,-,-,-,-,-,-,-,0,601,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,7,progress,after-decomposition,2,0,0,12735,1144814,abcg_arbiter3.ltl,unreal-formula,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,8,progress,after-rsimp,2,0,0,12735,1144814,abcg_arbiter3.ltl,unreal-formula,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,9,progress,after-translation,2,0,0,12735,1144814,abcg_arbiter3.ltl,unreal-formula,small,2,0,fallback,0,27463,10244,420235,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,27467,unknown,unknown,ltl,-,-1,-,-
abcg_arbiter3.ltl,10,progress,alphabet-census,2,0,0,12735,1144814,abcg_arbiter3.ltl,unreal-formula,small,2,0,fallback,0,27463,10244,420235,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,257,4088,2056,726113,not-run,0,0,0,-,-,-,-,-,-,-,-,0,29919,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,1,final,final,124,1,0,8919,1144832,amba_decomposed_lock15.ltl,real,small,2,0,fallback,0,52,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983040,4,1966080,8,196694,not-run,0,0,0,-,-,-,-,-,-,-,-,0,398,unknown,alphabet-census-only,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,2,progress,after-decomposition,124,1,0,8919,1144832,amba_decomposed_lock15.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,3,progress,after-rsimp,124,1,0,8919,1144832,amba_decomposed_lock15.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,4,progress,after-translation,124,1,0,8919,1144832,amba_decomposed_lock15.ltl,real,small,2,0,fallback,0,52,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,55,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,5,progress,alphabet-census,124,1,0,8919,1144832,amba_decomposed_lock15.ltl,real,small,2,0,fallback,0,52,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983040,4,1966080,8,196694,not-run,0,0,0,-,-,-,-,-,-,-,-,0,382,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,6,progress,after-decomposition,124,1,0,8919,1144833,amba_decomposed_lock15.ltl,unreal-formula,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock15.ltl,7,progress,after-rsimp,124,1,0,8919,1144833,amba_decomposed_lock15.ltl,unreal-formula,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
