revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	261979665	/tmp/posets-slice2/base-downset-bm-vector_backed-build-r1.perf
base	downset-bm	vector_backed	query	123994108	/tmp/posets-slice2/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	transfer	19689052	/tmp/posets-slice2/base-downset-bm-vector_backed-transfer-r2.perf
base	downset-bm	vector_backed	intersection	629152419	/tmp/posets-slice2/base-downset-bm-vector_backed-intersection-r2.perf
base	downset-bm	vector_backed	union	248148690	/tmp/posets-slice2/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1955208767	/tmp/posets-slice2/base-downset-bm-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	build	406980893	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-build-r1.perf
base	downset-bm-d128	vector_backed	query	177890881	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-query-r1.perf
base	downset-bm-d128	vector_backed	transfer	18128094	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-transfer-r2.perf
base	downset-bm-d128	vector_backed	intersection	180991968	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-intersection-r1.perf
base	downset-bm-d128	vector_backed	union	32492651	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-union-r1.perf
base	downset-bm-d128	vector_backed	cpre	8585634917	/tmp/posets-slice2/base-downset-bm-d128-vector_backed-cpre-r1.perf
base	simd-bm	vector_backed	simd	2344000	/tmp/posets-slice2/base-simd-bm-vector_backed-simd-r2.perf
candidate	downset-bm	vector_backed	build	260422929	/tmp/posets-slice2/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	112808204	/tmp/posets-slice2/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	transfer	19505670	/tmp/posets-slice2/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	intersection	612388044	/tmp/posets-slice2/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	union	246206159	/tmp/posets-slice2/candidate-downset-bm-vector_backed-union-r2.perf
candidate	downset-bm	vector_backed	cpre	1909304001	/tmp/posets-slice2/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	406606494	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-build-r2.perf
candidate	downset-bm-d128	vector_backed	query	192758954	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	17765961	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-transfer-r2.perf
candidate	downset-bm-d128	vector_backed	intersection	180120074	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	union	32447655	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	8636188164	/tmp/posets-slice2/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	simd-bm	vector_backed	simd	2489694	/tmp/posets-slice2/candidate-simd-bm-vector_backed-simd-r1.perf
