revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	270540814	/tmp/posets-slice4/base-downset-bm-vector_backed-build-r2.perf
base	downset-bm	vector_backed	query	123930395	/tmp/posets-slice4/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	transfer	19835185	/tmp/posets-slice4/base-downset-bm-vector_backed-transfer-r2.perf
base	downset-bm	vector_backed	intersection	620526675	/tmp/posets-slice4/base-downset-bm-vector_backed-intersection-r1.perf
base	downset-bm	vector_backed	union	249114426	/tmp/posets-slice4/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1932026282	/tmp/posets-slice4/base-downset-bm-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	build	406542523	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-build-r2.perf
base	downset-bm-d128	vector_backed	query	176661654	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-query-r2.perf
base	downset-bm-d128	vector_backed	transfer	17491059	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-transfer-r1.perf
base	downset-bm-d128	vector_backed	intersection	179734450	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-intersection-r2.perf
base	downset-bm-d128	vector_backed	union	32562672	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-union-r2.perf
base	downset-bm-d128	vector_backed	cpre	8553241183	/tmp/posets-slice4/base-downset-bm-d128-vector_backed-cpre-r1.perf
base	simd-bm	vector_backed	simd	2321098	/tmp/posets-slice4/base-simd-bm-vector_backed-simd-r2.perf
candidate	downset-bm	vector_backed	build	260423644	/tmp/posets-slice4/candidate-downset-bm-vector_backed-build-r1.perf
candidate	downset-bm	vector_backed	query	126097311	/tmp/posets-slice4/candidate-downset-bm-vector_backed-query-r2.perf
candidate	downset-bm	vector_backed	transfer	19663908	/tmp/posets-slice4/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	intersection	605499962	/tmp/posets-slice4/candidate-downset-bm-vector_backed-intersection-r2.perf
candidate	downset-bm	vector_backed	union	247516199	/tmp/posets-slice4/candidate-downset-bm-vector_backed-union-r2.perf
candidate	downset-bm	vector_backed	cpre	1915669517	/tmp/posets-slice4/candidate-downset-bm-vector_backed-cpre-r1.perf
candidate	downset-bm-d128	vector_backed	build	407109797	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-build-r2.perf
candidate	downset-bm-d128	vector_backed	query	176706831	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	17602581	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	181030384	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	union	32425503	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-union-r1.perf
candidate	downset-bm-d128	vector_backed	cpre	8615864103	/tmp/posets-slice4/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	simd-bm	vector_backed	simd	2277148	/tmp/posets-slice4/candidate-simd-bm-vector_backed-simd-r2.perf
