revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	260737062	/tmp/posets-slice7/base-downset-bm-vector_backed-build-r2.perf
base	downset-bm	vector_backed	query	123808080	/tmp/posets-slice7/base-downset-bm-vector_backed-query-r2.perf
base	downset-bm	vector_backed	transfer	19159219	/tmp/posets-slice7/base-downset-bm-vector_backed-transfer-r2.perf
base	downset-bm	vector_backed	intersection	614205811	/tmp/posets-slice7/base-downset-bm-vector_backed-intersection-r1.perf
base	downset-bm	vector_backed	union	246648049	/tmp/posets-slice7/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1918304964	/tmp/posets-slice7/base-downset-bm-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	build	406648562	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-build-r2.perf
base	downset-bm-d128	vector_backed	query	177074693	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-query-r1.perf
base	downset-bm-d128	vector_backed	transfer	17918824	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-transfer-r2.perf
base	downset-bm-d128	vector_backed	intersection	179762489	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-intersection-r2.perf
base	downset-bm-d128	vector_backed	union	32484440	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-union-r1.perf
base	downset-bm-d128	vector_backed	cpre	8547418376	/tmp/posets-slice7/base-downset-bm-d128-vector_backed-cpre-r2.perf
base	simd-bm	vector_backed	simd	2450615	/tmp/posets-slice7/base-simd-bm-vector_backed-simd-r1.perf
candidate	downset-bm	vector_backed	build	260339166	/tmp/posets-slice7/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	121821623	/tmp/posets-slice7/candidate-downset-bm-vector_backed-query-r2.perf
candidate	downset-bm	vector_backed	transfer	19189028	/tmp/posets-slice7/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	intersection	621898885	/tmp/posets-slice7/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	union	246112594	/tmp/posets-slice7/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	cpre	1909549338	/tmp/posets-slice7/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	404776748	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	query	176286422	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	17636868	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	179849927	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	union	32451146	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	8558583773	/tmp/posets-slice7/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	simd-bm	vector_backed	simd	2345416	/tmp/posets-slice7/candidate-simd-bm-vector_backed-simd-r2.perf
