revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	263653788	/tmp/posets-slice1/base-downset-bm-vector_backed-build-r1.perf
base	downset-bm	vector_backed	query	124101924	/tmp/posets-slice1/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	transfer	19347352	/tmp/posets-slice1/base-downset-bm-vector_backed-transfer-r1.perf
base	downset-bm	vector_backed	intersection	617861724	/tmp/posets-slice1/base-downset-bm-vector_backed-intersection-r1.perf
base	downset-bm	vector_backed	union	246931844	/tmp/posets-slice1/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1920188060	/tmp/posets-slice1/base-downset-bm-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	build	406952263	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-build-r1.perf
base	downset-bm-d128	vector_backed	query	177856557	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-query-r1.perf
base	downset-bm-d128	vector_backed	transfer	17886845	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-transfer-r2.perf
base	downset-bm-d128	vector_backed	intersection	181043584	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-intersection-r1.perf
base	downset-bm-d128	vector_backed	union	32719333	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-union-r1.perf
base	downset-bm-d128	vector_backed	cpre	8648390810	/tmp/posets-slice1/base-downset-bm-d128-vector_backed-cpre-r1.perf
base	simd-bm	vector_backed	simd	2438672	/tmp/posets-slice1/base-simd-bm-vector_backed-simd-r1.perf
candidate	downset-bm	vector_backed	build	261366994	/tmp/posets-slice1/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	124567889	/tmp/posets-slice1/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	transfer	19473519	/tmp/posets-slice1/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	intersection	607150924	/tmp/posets-slice1/candidate-downset-bm-vector_backed-intersection-r2.perf
candidate	downset-bm	vector_backed	union	247752580	/tmp/posets-slice1/candidate-downset-bm-vector_backed-union-r2.perf
candidate	downset-bm	vector_backed	cpre	1906975475	/tmp/posets-slice1/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	406535490	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	query	177917503	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-query-r2.perf
candidate	downset-bm-d128	vector_backed	transfer	18141654	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-transfer-r2.perf
candidate	downset-bm-d128	vector_backed	intersection	179854434	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-intersection-r1.perf
candidate	downset-bm-d128	vector_backed	union	32733141	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	8733539433	/tmp/posets-slice1/candidate-downset-bm-d128-vector_backed-cpre-r2.perf
candidate	simd-bm	vector_backed	simd	2519888	/tmp/posets-slice1/candidate-simd-bm-vector_backed-simd-r2.perf
