instance	n_result	n_seconds	b_epoch1_result	b_epoch1_seconds	b_epoch2_result	b_epoch2_seconds	change_vs_b_epoch1	b_epoch2_vs_epoch1	seconds_delta_vs_b_epoch1	memory_peak_delta_bytes	winner
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	17.094252743991092	TIMEOUT	17.094377895002253	TIMEOUT	17.05366924201371	same	same			fallback-nonanswer
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	17.094403148046695	TIMEOUT	17.093327100999886	TIMEOUT	17.085735848988406	same	same			fallback-nonanswer
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	17.093078371952288	TIMEOUT	17.096367215999635	TIMEOUT	17.092890872008866	same	same			fallback-nonanswer
amba_case_study_unreal_pb_2_pe_.ltl	TIMEOUT	17.03793799097184	TIMEOUT	17.037176344019827	TIMEOUT	17.036552492005285	same	same			fallback-nonanswer
amba_case_study_unreal_pb_3_pe_.ltl	TIMEOUT	17.085150205995888	TIMEOUT	17.085795866005355	TIMEOUT	17.0847951459873	same	same			fallback-nonanswer
amba_case_study_unreal_pb_4_pe_.ltl	TIMEOUT	17.05283477692865	TIMEOUT	17.053534734994173	TIMEOUT	17.05221188699943	same	same			fallback-nonanswer
amba_case_study_unreal_pb_5_pe_.ltl	TIMEOUT	17.052743960986845	TIMEOUT	17.09506637501181	TIMEOUT	17.053321515006246	same	same			fallback-nonanswer
amba_decomposed_lock_pb_10_pe_.ltl	REALIZABLE	1.0987696490483359	REALIZABLE	0.4844498340098653	REALIZABLE	0.48148559700348414	same	same	0.614320		lifting
amba_decomposed_lock_pb_11_pe_.ltl	REALIZABLE	1.3576480329502374	REALIZABLE	1.8712998050032184	REALIZABLE	1.8360851200122852	same	same	-0.513652		lifting
amba_decomposed_lock_pb_12_pe_.ltl	REALIZABLE	1.718321023043245	REALIZABLE	7.195878528000321	REALIZABLE	7.204333131987369	same	same	-5.477558		lifting
amba_decomposed_lock_pb_13_pe_.ltl	REALIZABLE	2.617430943995714	TIMEOUT	17.094761754007777	TIMEOUT	17.093490814004326	gain	same			lifting
amba_decomposed_lock_pb_14_pe_.ltl	REALIZABLE	4.98800965200644	TIMEOUT	17.092300554999383	TIMEOUT	17.092423798982054	gain	same			lifting
amba_decomposed_lock_pb_15_pe_.ltl	TIMEOUT	17.095370447961614	TIMEOUT	17.08606041999883	TIMEOUT	17.090733260003617	same	same			fallback-nonanswer
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	17.093503967043944	TIMEOUT	17.08622394700069	TIMEOUT	17.09365153798717	same	same			fallback-nonanswer
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	17.088393729995005	TIMEOUT	17.09103667701129	TIMEOUT	17.08976453199284	same	same			fallback-nonanswer
amba_decomposed_lock_pb_5_pe_.ltl	REALIZABLE	0.8881681780330837	REALIZABLE	0.03584329297882505	REALIZABLE	0.02781700500054285	same	same	0.852325		lifting
