solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit	winner	lift_elapsed	fallback_start
N-a	abcg_arbiter_pb_4_pe_.ltl	abcg_arbiter_pb_4_pe_.tlsf	17	TIMEOUT	17.094252743991092	124	true	timeout	none	0	8	0	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:16:13.685963Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-5e98c286b3d3.scope	fallback-pending	2.969645951059647	536457.903459602
N-a	abcg_arbiter_pb_5_pe_.ltl	abcg_arbiter_pb_5_pe_.tlsf	17	TIMEOUT	17.094403148046695	124	true	timeout	none	0	8	1	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:16:30.819815Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-2a32783dc1a6.scope	fallback-pending	3.0992219659965485	536475.173911133
N-a	abcg_arbiter_pb_6_pe_.ltl	abcg_arbiter_pb_6_pe_.tlsf	17	TIMEOUT	17.093078371952288	124	true	timeout	none	0	8	2	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:16:47.938928Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-025c95ccf6fb.scope	fallback-pending	3.2065291439648718	536492.412754498
N-a	amba_case_study_unreal_pb_2_pe_.ltl	amba_case_study_unreal_pb_2_pe_.tlsf	17	TIMEOUT	17.03793799097184	124	true	timeout	none	0	8	3	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:04.990775Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-142c99ec1189.scope	fallback-pending	5.4319027630845085	536511.753311277
N-a	amba_case_study_unreal_pb_3_pe_.ltl	amba_case_study_unreal_pb_3_pe_.tlsf	17	TIMEOUT	17.085150205995888	124	true	timeout	none	0	8	4	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:22.089155Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-4e231733d745.scope	fallback-pending	5.454987081000581	536528.820585846
N-a	amba_case_study_unreal_pb_4_pe_.ltl	amba_case_study_unreal_pb_4_pe_.tlsf	17	TIMEOUT	17.05283477692865	124	true	timeout	none	0	8	5	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:39.155244Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-62d10b8bb35f.scope	fallback-pending	5.456712416023947	536545.921984423
N-a	amba_case_study_unreal_pb_5_pe_.ltl	amba_case_study_unreal_pb_5_pe_.tlsf	17	TIMEOUT	17.052743960986845	124	true	timeout	none	0	8	6	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:56.219879Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1888369-8acb5908282d.scope	fallback-pending	5.479665204999037	536563.014488192
N-a	amba_decomposed_lock_pb_10_pe_.ltl	amba_decomposed_lock_pb_10_pe_.tlsf	17	REALIZABLE	1.0987696490483359	0	false		status	11	31	7	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:57.339602Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.080000	683130880		8G	0			true		acacia-syntcomp26-coverage-1888369-ef970635c226.scope	lifting	1.0303971089888364	
N-a	amba_decomposed_lock_pb_11_pe_.ltl	amba_decomposed_lock_pb_11_pe_.tlsf	17	REALIZABLE	1.3576480329502374	0	false		status	11	32	8	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:17:58.711611Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.330000	1362456576		8G	0			true		acacia-syntcomp26-coverage-1888369-a1eb120f8927.scope	lifting	1.2838216009549797	
N-a	amba_decomposed_lock_pb_12_pe_.ltl	amba_decomposed_lock_pb_12_pe_.tlsf	17	REALIZABLE	1.718321023043245	0	false		status	11	32	9	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:18:00.450240Z	--lift-budget-fraction 0.3333333333333333 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.690000	1378664448		8G	0			true		acacia-syntcomp26-coverage-1888369-1361eb84faf6.scope	lifting	1.6474957009777427	
