instance	n_result	n_seconds	b_epoch1_result	b_epoch1_seconds	b_epoch2_result	b_epoch2_seconds	change_vs_b_epoch1	b_epoch2_vs_epoch1	seconds_delta_vs_b_epoch1	memory_peak_delta_bytes	winner
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	60.12939350900706	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	60.13024377101101	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	60.12862578895874	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_2_pe_.ltl	TIMEOUT	60.09708499896806	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_3_pe_.ltl	TIMEOUT	60.12846664106473	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_4_pe_.ltl	TIMEOUT	60.136845653061755	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_case_study_unreal_pb_5_pe_.ltl	TIMEOUT	60.13074920501094	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_10_pe_.ltl	REALIZABLE	1.464012466953136	REALIZABLE	0.47215671700178063	REALIZABLE	0.4776400809932966	same	same	0.991856		lifting
amba_decomposed_lock_pb_11_pe_.ltl	REALIZABLE	1.6482301809592173	REALIZABLE	1.8930920210041222	REALIZABLE	1.8466349630034529	same	same	-0.244862		lifting
amba_decomposed_lock_pb_12_pe_.ltl	REALIZABLE	1.9589400730328634	REALIZABLE	7.084361741002795	REALIZABLE	7.236327463993803	same	same	-5.125422		lifting
amba_decomposed_lock_pb_13_pe_.ltl	REALIZABLE	2.6690414970507845	REALIZABLE	24.294208625000465	REALIZABLE	23.597639886997058	same	same	-21.625167		lifting
amba_decomposed_lock_pb_14_pe_.ltl	REALIZABLE	5.021745502948761	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
amba_decomposed_lock_pb_15_pe_.ltl	REALIZABLE	12.859149312018417	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	60.082949790987186	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	60.09305092692375	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
amba_decomposed_lock_pb_5_pe_.ltl	REALIZABLE	0.9153361009666696	REALIZABLE	0.018871278000005987	REALIZABLE	0.023189369007013738	same	same	0.896465		lifting
amba_decomposed_lock_pb_6_pe_.ltl	REALIZABLE	0.9156536789378151	REALIZABLE	0.023491975000069942	REALIZABLE	0.02255314600188285	same	same	0.892162		lifting
amba_decomposed_lock_pb_7_pe_.ltl	REALIZABLE	0.9334851199528202	REALIZABLE	0.05076355000346666	REALIZABLE	0.048264188997563906	same	same	0.882722		lifting
amba_decomposed_lock_pb_8_pe_.ltl	REALIZABLE	0.9690160809550434	REALIZABLE	0.057455502999800956	REALIZABLE	0.062104301003273576	same	same	0.911561		lifting
amba_decomposed_lock_pb_9_pe_.ltl	REALIZABLE	0.9963212839793414	REALIZABLE	0.13729652599431574	REALIZABLE	0.15309313999023288	same	same	0.859025		lifting
arbiter_on_inpchange_pb_5_pe_.ltl	REALIZABLE	6.30429932102561	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_on_inpchange_pb_6_pe_.ltl	REALIZABLE	15.89198173803743	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_on_inpchange_pb_7_pe_.ltl	TIMEOUT	60.132519918028265	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
arbiter_pb_10_pe_.ltl	REALIZABLE	2.605935542960651	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_5_pe_.ltl	REALIZABLE	1.0665782709838822	REALIZABLE	0.36535575200105086	REALIZABLE	0.3935468639974715	same	same	0.701223		lifting
arbiter_pb_6_pe_.ltl	REALIZABLE	1.2328726999694481	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_7_pe_.ltl	REALIZABLE	1.4434728079941124	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_8_pe_.ltl	REALIZABLE	1.6756448410451412	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_pb_9_pe_.ltl	REALIZABLE	2.0736782220192254	TIMEOUT	60	TIMEOUT	60	gain	same			lifting
arbiter_with_buffer_pb_10_pe_.ltl	TIMEOUT	60.12906482000835	TIMEOUT	60	TIMEOUT	60	same	same			fallback-nonanswer
arbiter_with_buffer_pb_5_pe_.ltl	REALIZABLE	0.915737283998169	REALIZABLE	0.9198862979974365	REALIZABLE	0.9445107460196596	same	same	-0.004149		lifting
