family_key	solved_instance	solved_params_json	solved_seconds	unsolved_instance	unsolved_params_json	unsolved_failure	pair_kind	l1_distance
param:tlsf/amba/amba/parametric/amba_case_study.tlsf	amba_case_study_pb_2_pe_.ltl	"{""n"":2}"	0.9308039869647473	amba_case_study_pb_3_pe_.ltl	"{""n"":3}"	TIMEOUT	cover	0.5
param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf				amba_case_study_unreal_pb_2_pe_.ltl	"{""n"":2}"	TIMEOUT	none	
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	amba_decomposed_arbiter_pb_6_pe_.ltl	"{""n"":6}"	1.1554492310388014	amba_decomposed_arbiter_pb_7_pe_.ltl	"{""n"":7}"	TIMEOUT	cover	0.09090909090909090909090909091
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	amba_decomposed_encode_pb_16_pe_.ltl	"{""n"":16}"	0.8028807360678911	amba_decomposed_encode_pb_20_pe_.ltl	"{""n"":20}"	TIMEOUT	cover	0.1739130434782608695652173913
param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_lock.tlsf	amba_decomposed_lock_pb_13_pe_.ltl	"{""n"":13}"	20.220548374927603	amba_decomposed_lock_pb_14_pe_.ltl	"{""n"":14}"	TIMEOUT	cover	0.03571428571428571428571428571
param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter_pb_3_pe_.ltl	"{""n"":3}"	36.370379983098246	abcg_arbiter_pb_4_pe_.ltl	"{""n"":4}"	TIMEOUT	cover	0.2
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter_pb_5_pe_.ltl	"{""n"":5}"	0.41484881192445755	arbiter_pb_6_pe_.ltl	"{""n"":6}"	TIMEOUT	cover	0.1111111111111111111111111111
param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange_pb_4_pe_.ltl	"{""n"":4}"	1.2906023460673168	arbiter_on_inpchange_pb_5_pe_.ltl	"{""n"":5}"	TIMEOUT	cover	0.1666666666666666666666666667
param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer_pb_5_pe_.ltl	"{""n"":5}"	4.657058052020147	arbiter_with_buffer_pb_6_pe_.ltl	"{""n"":6}"	TIMEOUT	cover	0.1111111111111111111111111111
param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel_pb_5_pe_.ltl	"{""n"":5}"	1.3234717140439898	arbiter_with_cancel_pb_6_pe_.ltl	"{""n"":6}"	TIMEOUT	cover	0.1111111111111111111111111111
param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter_pb_3_pe_.ltl	"{""n"":3}"	0.7697880920022726	rw_arbiter_pb_4_pe_.ltl	"{""n"":4}"	TIMEOUT	cover	0.25
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_2_3_pe_.ltl	"{""N"":2,""M"":3}"	3.2606341149657965	chomp_pb_2_4_pe_.ltl	"{""N"":2,""M"":4}"	TIMEOUT	cover	0.25
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_2_3_pe_.ltl	"{""N"":2,""M"":3}"	3.2606341149657965	chomp_pb_3_3_pe_.ltl	"{""N"":3,""M"":3}"	TIMEOUT	cover	0.5
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_3_2_pe_.ltl	"{""N"":3,""M"":2}"	3.1990205920301378	chomp_pb_3_3_pe_.ltl	"{""N"":3,""M"":3}"	TIMEOUT	cover	0.25
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_3_2_pe_.ltl	"{""N"":3,""M"":2}"	3.1990205920301378	chomp_pb_4_2_pe_.ltl	"{""N"":4,""M"":2}"	TIMEOUT	cover	0.5
param:tlsf/collector/parametric/collector_v1.tlsf	collector_v1_pb_9_pe_.ltl	"{""n"":9}"	2.7098509030183777	collector_v1_pb_11_pe_.ltl	"{""n"":11}"	TIMEOUT	cover	0.1666666666666666666666666667
