tlsf_file	instance	annotated_status	acacia_verdict	ltlsynt_verdict	classification	ltlsynt_seconds	evidence
lilydemo15.tlsf	lilydemo15.ltl	unrealizable	REALIZABLE	REALIZABLE	annotation_wrong	0.020557	ltlsynt agreed with Acacia (REALIZABLE), so the TLSF annotation (unrealizable) is wrong.
lilydemo16.tlsf	lilydemo16.ltl	unrealizable	REALIZABLE	REALIZABLE	annotation_wrong	0.011291	ltlsynt agreed with Acacia (REALIZABLE), so the TLSF annotation (unrealizable) is wrong.
