suite	instance	family	cohort	worker	pid	route	source_sha256	options	checkpoint	formula_fnv1a64	backend	phase	k_schedule	translation_pref	translation_ms	preprocessing_ms	action_construction_ms	solve_ms	verification_ms	total_ms	graph_ready	total_q	total_e	search_rows	verification_rows	verification_only_rows	union_rows	union_edges	k	k_union_rows	k_union_edges	search_applications	verification_applications	support_median	support_p95	support_max	decoded_profiles	action_profiles_used	forward_env_nodes	forward_ctrl_nodes	actions_seen	max_f	forward_limit_reason	worker_result	final_reason	rho_q	rho_e	result	seconds	exit_code	timed_out	acacia_sha	binary_sha256	preset	timestamp_utc	status	original_status
syntcomp26	lift_gr1_pb_2_pe_.ltl	param:tlsf/lift/parametric/lift_gr1.tlsf	discovery	real	288789	tlsf	ce7d5521c64d36eadc8e66564c61727a660bc13d4abbaffb495df266ab3a6373		final	2cbbd3f3c6af8d8	forward	search	linear	small	6	0	3	10	0.108906	25	1	56	378	52	31	0	52	362	5	52	362	3211	389	3	6	6	66	66	135	1064	0	0	none	solved	forward-verified-win	0.928571429	0.957671958	REALIZABLE	0.068377	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.724727Z	complete	complete
syntcomp26	lift_gr1_pb_2_pe_.ltl	param:tlsf/lift/parametric/lift_gr1.tlsf	discovery	unreal-formula	288790	tlsf	ce7d5521c64d36eadc8e66564c61727a660bc13d4abbaffb495df266ab3a6373		support-demand-progress	1dceb7a3fb27c828	forward	search	linear	small	5	0	3	0	0	24	1	42	355	26	0	0	26	223	5	25	213	4096	0	6	7	7	112	80	27	270	0	0	none	unknown	unknown	0.619047619	0.628169014	REALIZABLE	0.068377	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.724727Z	cancelled-worker	cancelled-worker
syntcomp26	lift_gr1_pb_2_pe_.ltl	param:tlsf/lift/parametric/lift_gr1.tlsf	discovery	unreal-automaton	288791	tlsf	ce7d5521c64d36eadc8e66564c61727a660bc13d4abbaffb495df266ab3a6373		support-demand-progress	e050e84ef6f3eeea	forward	search	linear	small	4	0	3	0	0	23	1	33	187	29	0	0	29	150	8	24	113	8192	0	6	9	9	112	80	180	1760	0	0	none	unknown	unknown	0.878787879	0.802139037	REALIZABLE	0.068377	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.724727Z	cancelled-worker	cancelled-worker
syntcomp26	robot_grid_pb_2_2_pe_.ltl	param:tlsf/robot_grid/parametric/robot_grid.tlsf	discovery	real	288798	tlsf	ffe426ad0760e977e140e72c004ce8402c4f24ce78ae89315f8d22aafe2c1170		final	77fc72009248290	forward	search	linear	small	15	0	2	2	0.066884	27	1	78	770	78	29	0	78	770	2	78	770	544	318	3	4	4	168	134	23	368	0	0	none	solved	forward-verified-win	1	1	REALIZABLE	0.064843	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.815084Z	complete	complete
syntcomp26	robot_grid_pb_2_2_pe_.ltl	param:tlsf/robot_grid/parametric/robot_grid.tlsf	discovery	unreal-formula	288799	tlsf	ffe426ad0760e977e140e72c004ce8402c4f24ce78ae89315f8d22aafe2c1170		support-before-translation	fa090d639937de0c	forward	translation	linear	small	0	0	0	0	0	8	0																0		0	0	0	0	none	unknown	unknown			REALIZABLE	0.064843	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.815084Z	cancelled-worker	translation-failure-realizable
syntcomp26	robot_grid_pb_2_2_pe_.ltl	param:tlsf/robot_grid/parametric/robot_grid.tlsf	discovery	unreal-automaton	288800	tlsf	ffe426ad0760e977e140e72c004ce8402c4f24ce78ae89315f8d22aafe2c1170		support-before-translation	1566a978bbc8838c	forward	translation	linear	small	0	0	0	0	0	8	0																0		0	0	0	0	none	unknown	unknown			REALIZABLE	0.064843	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:25.815084Z	cancelled-worker	translation-failure-realizable
syntcomp26	arbiter_with_buffer_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	discovery	real	288807	tlsf	5764ab23b8be0bd4282247f7389063b27d61c92fcb6fcbdea1b86082ced800cf		final	38066a5d1bd05a34	forward	search	linear	small	7	0	155	1150	241.683	1167	1	17	43	17	16	0	17	43	5	17	43	4113538	1081856	9	9	9	32768	32768	645	20640	0	0	none	solved	forward-verified-win	1	1	REALIZABLE	1.221748	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:27.076685Z	complete	complete
syntcomp26	arbiter_with_buffer_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	discovery	unreal-formula	288808	tlsf	5764ab23b8be0bd4282247f7389063b27d61c92fcb6fcbdea1b86082ced800cf		support-before-translation	ae9ad14a1b447a38	forward	translation	linear	small	0	0	0	0	0	7	0																0		0	0	0	0	none	unknown	unknown			REALIZABLE	1.221748	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:27.076685Z	cancelled-worker	translation-failure-realizable
syntcomp26	arbiter_with_buffer_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	discovery	unreal-automaton	288809	tlsf	5764ab23b8be0bd4282247f7389063b27d61c92fcb6fcbdea1b86082ced800cf		final	9cddd6c182284e9c	forward	preprocessing	linear	small	47	0	0	0	0	244	0																0		0	0	0	0	none	unknown	input-push-limit			REALIZABLE	1.221748	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:27.076685Z	preprocessing-realizable	preprocessing-realizable
syntcomp26	arbiter_with_cancel_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	discovery	real	288836	tlsf	ce69a3fd67e37b79ae9ab631128abdea310eb256681037bb77280950be780be3		final	1d72fd38b95c4f22	forward	search	linear	small	101	0	37	1281	0	1390	1	23	65	23	0	0	23	65	5	22	64	5257727	0	7	7	7	7776	7776	3130	400001	0	0	forward-resource-limit-ctrl-nodes	unknown	forward-resource-limit-ctrl-nodes	1	1	TIMEOUT	17.021202	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:44.116090Z	unknown	unknown
syntcomp26	arbiter_with_cancel_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	discovery	unreal-formula	288837	tlsf	ce69a3fd67e37b79ae9ab631128abdea310eb256681037bb77280950be780be3		support-before-translation	800620335ec7577c	forward	translation	linear	small	0	0	0	0	0	6	0																0		0	0	0	0	none	unknown	unknown			TIMEOUT	17.021202	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:44.116090Z	translation-failure-timeout	translation-failure-timeout
syntcomp26	arbiter_with_cancel_pb_5_pe_.ltl	param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	discovery	unreal-automaton	288838	tlsf	ce69a3fd67e37b79ae9ab631128abdea310eb256681037bb77280950be780be3		support-demand-k	6ac89ae07643c712	forward	search	linear	small	560	13	505	0	0	15703	1	433	54964	401	0	0	401	49972	20	401	49972	5280884	0	4	6	6	1778	1490	4034	28238	0	0	none	unknown	unknown	0.926096998	0.909176916	TIMEOUT	17.021202	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:29:44.116090Z	timeout	timeout
syntcomp26	collector_v1_pb_9_pe_.ltl	param:tlsf/collector/parametric/collector_v1.tlsf	discovery	real	288852	tlsf	97420c343a53c34529775be646644a4b61ad3e5a1e83bdfef228e3abc98acead		final	c042be0fd4693f7b	forward	search	linear	small	29	2	274	2425	0	2464	1	523	20224	522	0	0	522	20223	2	522	20223	505630	0	7	9	11	1024	1024	19174	400001	0	0	forward-resource-limit-ctrl-nodes	unknown	forward-resource-limit-ctrl-nodes	0.998087954	0.999950554	TIMEOUT	17.020683	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:01.148404Z	unknown	unknown
syntcomp26	collector_v1_pb_9_pe_.ltl	param:tlsf/collector/parametric/collector_v1.tlsf	discovery	unreal-formula	288853	tlsf	97420c343a53c34529775be646644a4b61ad3e5a1e83bdfef228e3abc98acead		support-demand-progress	df20d62d1c6443dc	forward	search	linear	small	225	15	1899	0	0	10382	1	3338	106370	3070	0	0	3070	90423	5	3070	90423	524288	0	5	8	10	1024	1024	2	4	0	0	none	unknown	unknown	0.919712403	0.85007991	TIMEOUT	17.020683	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:01.148404Z	timeout	timeout
syntcomp26	collector_v1_pb_9_pe_.ltl	param:tlsf/collector/parametric/collector_v1.tlsf	discovery	unreal-automaton	288854	tlsf	97420c343a53c34529775be646644a4b61ad3e5a1e83bdfef228e3abc98acead		support-demand-progress	130944d15716130a	forward	search	linear	small	163	12	1438	0	0	8746	1	2836	84394	2818	0	0	2818	82072	5	2818	82072	524288	0	5	8	10	1024	1024	2	4	0	0	none	unknown	unknown	0.993653032	0.972486196	TIMEOUT	17.020683	124	1	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:01.148404Z	timeout	timeout
syntcomp26	collector_v3_pb_7_pe_.ltl	param:tlsf/collector/parametric/collector_v3.tlsf	discovery	real	288866	tlsf	ad8f1e00135c2b37721f049dd7cc92b83b677c7b80fbd5aa7547313fea865de7		final	3b23436cbe315016	forward	search	linear	small	112	1	129	2065	0.934784	2185	1	591	14207	24	16	0	24	193	2	24	193	558018	383	8	12	15	256	256	2442	312576	0	0	none	solved	forward-verified-win	0.0406091371	0.0135848525	REALIZABLE	2.219174	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:03.388556Z	complete	complete
syntcomp26	collector_v3_pb_7_pe_.ltl	param:tlsf/collector/parametric/collector_v3.tlsf	discovery	unreal-formula	288867	tlsf	ad8f1e00135c2b37721f049dd7cc92b83b677c7b80fbd5aa7547313fea865de7		support-before-translation	41b659b63acf0f38	forward	translation	linear	small	0	0	0	0	0	4	0																0		0	0	0	0	none	unknown	unknown			REALIZABLE	2.219174	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:03.388556Z	cancelled-worker	translation-failure-realizable
syntcomp26	collector_v3_pb_7_pe_.ltl	param:tlsf/collector/parametric/collector_v3.tlsf	discovery	unreal-automaton	288868	tlsf	ad8f1e00135c2b37721f049dd7cc92b83b677c7b80fbd5aa7547313fea865de7		support-before-translation	a8ae3188da1e1874	forward	translation	linear	small	0	0	0	0	0	4	0																0		0	0	0	0	none	unknown	unknown			REALIZABLE	2.219174	0	0	864be8d55d79af8b65454853035ad686b75601ef	5d9933595a8a5464ee3853f0c225f0eb4f1cf3391e4136e7fba63d4208d48602	otf_forward+diagnostics	2026-09-07T07:30:03.388556Z	cancelled-worker	translation-failure-realizable
