instance	benefit_target	control_statuses	control_verdicts	control_solved_count	control_solved	treatment_statuses	treatment_verdicts	treatment_solved_count	treatment_solved	control_seconds	treatment_seconds	paired_delta_seconds	control_median_seconds	treatment_median_seconds	control_noise_seconds	lower_rounds_seconds	higher_rounds_seconds	faster_rounds	slower_rounds	control_scope_memory_peak_bytes	treatment_scope_memory_peak_bytes	paired_delta_scope_memory_peak_bytes	control_median_scope_memory_peak_bytes	treatment_median_scope_memory_peak_bytes	control_noise_scope_memory_peak_bytes	lower_rounds_scope_memory_peak_bytes	higher_rounds_scope_memory_peak_bytes	control_max_process_rss_bytes	treatment_max_process_rss_bytes	paired_delta_max_process_rss_bytes	control_median_max_process_rss_bytes	treatment_median_max_process_rss_bytes	control_noise_max_process_rss_bytes	lower_rounds_max_process_rss_bytes	higher_rounds_max_process_rss_bytes	correctness_fail	lost_verdict_rounds	new_failures	regression_threshold_seconds	regression_flag_seconds	validated_regression_seconds	regression_threshold_scope_memory_peak_bytes	regression_flag_scope_memory_peak_bytes	validated_regression_scope_memory_peak_bytes	regression_failures	regression_unresolved	flags	coverage_benefit	runtime_benefit	memory_benefit
03.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[3.100175405968912, 3.2510960809886456, 3.402526457037311, 3.3290081419982016, 3.256133890012279]	[3.2094682320021093, 3.3018552950234152, 3.1755612350534648, 2.9915907609974965, 3.3041024539852515]	[0.10929282603319734, 0.050759214034769684, -0.22696522198384628, -0.33741738100070506, 0.04796856397297233]	3.256133890012279	3.2094682320021093	0.07287425198592246	2	3	[3, 4]	[1, 2, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[161464320, 161288192, 161370112, 161509376, 161185792]	[161378304, 161222656, 161267712, 161210368, 161509376]	[-86016, -65536, -102400, -299008, 323584]	161370112	161267712	94208	4	1	false	[]	[]	0.16280669450061397	false	false	unavailable	false	false	[]	[]	[]	false	false	false
10.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[3.369710718980059, 3.4870728100067936, 3.7068409800413065, 3.24755507404916, 3.570831016986631]	[3.514752719027456, 3.6830412530107424, 3.473195627972018, 3.6161469309590757, 3.254017178027425]	[0.14504200004739687, 0.19596844300394878, -0.2336453520692885, 0.3685918569099158, -0.3168138389592059]	3.4870728100067936	3.514752719027456	0.11736209102673456	2	3	[3, 5]	[1, 2, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[205398016, 207970304, 207826944, 126324736, 200720384]	[194596864, 126382080, 126320640, 208691200, 207880192]	[-10801152, -81588224, -81506304, 82366464, 7159808]	205398016	194596864	2572288	3	2	false	[]	[]	0.1743536405003397	false	false	unavailable	false	false	[]	[]	[]	false	false	false
11.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[3.4048689500195906, 3.5936344690271653, 3.4874655379680917, 3.232604343967978, 3.262817662965972]	[3.401338735013269, 3.707655092992354, 3.481773464998696, 3.4461206829873845, 3.3267463039956056]	[-0.0035302150063216686, 0.11402062396518886, -0.005692072969395667, 0.2135163390194066, 0.06392864102963358]	3.4048689500195906	3.4461206829873845	0.14205128705361858	2	3	[1, 3]	[2, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[206000128, 200015872, 194830336, 206135296, 125370368]	[205893632, 205873152, 186081280, 141250560, 125251584]	[-106496, 5857280, -8749056, -64884736, -118784]	200015872	186081280	5984256	4	1	false	[]	[]	0.17024344750097953	false	false	unavailable	false	false	[]	[]	[]	false	false	false
12.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[5.357672897982411, 5.248680519987829, 5.482411986973602, 5.525026537012309, 4.926697691029403]	[5.640424331999384, 5.671318225970026, 5.007712161983363, 5.394470569968689, 5.0261058490141295]	[0.2827514340169728, 0.4226377059821971, -0.474699824990239, -0.1305559670436196, 0.09940815798472613]	5.357672897982411	5.394470569968689	0.12473908899119124	2	3	[3, 4]	[1, 2, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[220422144, 137031680, 226865152, 136785920, 226856960]	[136773632, 185307136, 207343616, 226746368, 154873856]	[-83648512, 48275456, -19521536, 89960448, -71983104]	220422144	185307136	6443008	3	2	false	[]	[]	0.2678836448991206	false	false	unavailable	false	false	[]	[]	[]	false	false	false
13.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[5.1138966220314614, 5.694118185027037, 5.340325153956655, 5.425527997023892, 5.104029954003636]	[5.81804468203336, 5.09074207796948, 5.2993341910187155, 5.241188985004555, 5.993381984997541]	[0.7041480600018986, -0.6033761070575565, -0.04099096293793991, -0.18433901201933622, 0.8893520309939049]	5.340325153956655	5.2993341910187155	0.22642853192519397	3	2	[2, 3, 4]	[1, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[137723904, 139141120, 137605120, 228425728, 172683264]	[229097472, 228405248, 228388864, 167268352, 228425728]	[91373568, 89264128, 90783744, -61157376, 55742464]	139141120	228405248	1536000	1	4	false	[]	[]	0.26701625769783277	false	false	unavailable	false	false	[]	[]	[]	false	false	false
Alarm_70523fbe.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.9425806120270863, 0.947818732005544, 0.9358551360201091, 1.0163547330303118, 0.9781014819745906]	[0.9520838930038735, 0.9112810080405325, 0.9538508760160767, 0.9765180139802396, 0.9404936609789729]	[0.00950328097678721, -0.03653772396501154, 0.017995739995967597, -0.039836719050072134, -0.03760782099561766]	0.947818732005544	0.9520838930038735	0.01196359598543495	3	2	[2, 4, 5]	[1, 3]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[103583744, 103649280, 102752256, 103026688, 104001536]	[103673856, 103694336, 103731200, 104529920, 103538688]	[90112, 45056, 978944, 1503232, -462848]	103583744	103694336	417792	1	4	false	[]	[]	0.05	false	false	unavailable	false	false	[]	[]	[]	false	false	false
F-G-contradiction-16.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[8.931619308015797, 8.906471245980356, 9.376028158992995, 9.525763962999918, 8.92029385099886]	[9.462149595026858, 9.04237106902292, 9.173776700044982, 9.34958960901713, 9.382187575043645]	[0.5305302870110609, 0.1358998230425641, -0.20225145894801244, -0.17617435398278758, 0.4618937240447849]	8.931619308015797	9.34958960901713	0.0251480620354414	2	3	[3, 4]	[1, 2, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[659333120, 659238912, 659243008, 659111936, 659263488]	[777977856, 762724352, 781664256, 765648896, 764383232]	[118644736, 103485440, 122421248, 106536960, 105119744]	659243008	765648896	20480	0	5	false	[]	[]	0.4465809654007899	false	false	unavailable	false	false	[]	[]	[]	false	false	false
F-G-contradiction-17.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[10.555222950992174, 10.18286318500759, 10.276307708991226, 10.059924378991127, 10.619591454975307]	[10.504930100985803, 10.441033589013387, 10.51742591598304, 10.116261681017932, 10.650151056004688]	[-0.050292850006371737, 0.2581704040057957, 0.24111820699181408, 0.05633730202680454, 0.030559601029381156]	10.276307708991226	10.504930100985803	0.2163833300000988	1	4	[1]	[2, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[696795136, 696750080, 696840192, 696619008, 696569856]	[919580672, 901226496, 880164864, 906256384, 902402048]	[222785536, 204476416, 183324672, 209637376, 205832192]	696750080	902402048	90112	0	5	false	[]	[]	0.5138153854495613	false	false	unavailable	false	false	[]	[]	[]	false	false	false
F-G-contradiction-18.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[11.822372610971797, 11.611390804988332, 11.584881515009329, 12.407462423027027, 11.851571872015484]	[12.135603116999846, 12.010218295967206, 12.237260619993322, 12.583043862017803, 12.214265713002533]	[0.3132305060280487, 0.39882749097887427, 0.6523791049839929, 0.1755814389907755, 0.36269384098704904]	11.822372610971797	12.214265713002533	0.21098180598346516	0	5	[]	[1, 2, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[767451136, 767623168, 767766528, 767705088, 767614976]	[935456768, 935518208, 935473152, 935542784, 935612416]	[168005632, 167895040, 167706624, 167837696, 167997440]	767623168	935518208	81920	0	5	false	[]	[]	0.5911186305485899	false	false	unavailable	false	false	[]	[]	[]	false	false	false
F-G-contradiction-19.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[13.025193248002324, 12.359454392979387, 13.41223615501076, 13.1669094079989, 12.398471832973883]	[12.04886629700195, 12.494427568046376, 12.173864171025343, 11.851382112014107, 11.914430851989891]	[-0.9763269510003738, 0.13497317506698892, -1.2383719839854166, -1.3155272959847935, -0.4840409809839912]	13.025193248002324	12.04886629700195	0.3870429070084356	4	1	[1, 3, 4, 5]	[2]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[813694976, 813723648, 813629440, 813674496, 813809664]	[985800704, 958828544, 951050240, 986578944, 966410240]	[172105728, 145104896, 137420800, 172904448, 152600576]	813694976	966410240	28672	0	5	false	[]	[]	0.6512596624001162	false	false	unavailable	false	false	[]	[]	[]	false	false	false
GF-G-contradiction3.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[1.5704739969805814, 1.7385776090086438, 1.7169514510314912, 1.8052114190068096, 1.6503120179986581]	[1.6895400349749252, 1.6359617710113525, 1.632441880996339, 1.6875915960408747, 1.6692358310101554]	[0.11906603799434379, -0.10261583799729124, -0.08450957003515214, -0.11761982296593487, 0.01892381301149726]	1.7169514510314912	1.6692358310101554	0.06663943303283304	3	2	[2, 3, 4]	[1, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[146497536, 146583552, 146583552, 146550784, 146522112]	[169738240, 166170624, 168349696, 167800832, 167739392]	[23240704, 19587072, 21766144, 21250048, 21217280]	146550784	167800832	32768	0	5	false	[]	[]	0.08584757255157456	false	false	unavailable	false	false	[]	[]	[]	false	false	false
GF-G-contradiction4.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[1.684551003971137, 1.773950339993462, 1.8423353310208768, 1.805250328965485, 1.781631374033168]	[1.8185630099615082, 1.8292282210313715, 1.8681955839856528, 1.7500672850292176, 1.7010209760046564]	[0.1340120059903711, 0.05527788103790954, 0.02586025296477601, -0.055183043936267495, -0.08061039802851155]	1.781631374033168	1.8185630099615082	0.023618954932317138	2	3	[4, 5]	[1, 2, 3]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[153411584, 153366528, 153399296, 153444352, 153395200]	[184639488, 186454016, 184172544, 185151488, 183992320]	[31227904, 33087488, 30773248, 31707136, 30597120]	153399296	184639488	12288	0	5	false	[]	[]	0.0890815687016584	false	false	unavailable	false	false	[]	[]	[]	false	false	false
GF-G-contradiction6.ltl	true	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[16.642647412023507, 16.430229203018826, 15.383939066028688, 15.51668665499892, 16.392178641981445]	[16.22165868798038, 16.553296465950552, 16.30648306902731, 16.525136723998003, 15.978907048003748]	[-0.42098872404312715, 0.12306726293172687, 0.9225440029986203, 1.0084500689990819, -0.4132715939776972]	16.392178641981445	16.30648306902731	0.2504687700420618	2	3	[1, 5]	[2, 3, 4]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[695111680, 694939648, 695279616, 695119872, 695242752]	[695160832, 695107584, 695238656, 695136256, 695050240]	[49152, 167936, -40960, 16384, -192512]	695119872	695136256	122880	2	3	false	[]	[]	0.8196089320990723	false	false	unavailable	false	false	[]	[]	[]	false	false	false
GF-G-contradiction7.ltl	false	"[""TIMEOUT"", ""UNREALIZABLE"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	"[""UNREALIZABLE""]"	1	1/5	"[""TIMEOUT"", ""TIMEOUT"", ""UNREALIZABLE"", ""TIMEOUT"", ""TIMEOUT""]"	"[""UNREALIZABLE""]"	1	1/5	[17.0, 16.66024437203305, 17.0, 17.0, 17.0]	[17.0, 17.0, 16.73560901300516, 17.0, 17.0]	[0.0, 0.3397556279669516, -0.2643909869948402, 0.0, 0.0]	17.0	17.0	0.0	1	1	[3]	[2]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", 758517760, ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", 758525952, ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	false	[2]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	"[""mixed paired verdict losses — unresolved, blocks admission""]"	"[""lost verdict in paired rounds [2]"", ""changed round statuses"", ""mixed paired verdict losses — unresolved, blocks admission""]"	false	false	false
Morning_f2774e0b.ltl	false	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	"[""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE"", ""UNREALIZABLE""]"	"[""UNREALIZABLE""]"	5	5/5	[3.6516411500051618, 3.5762847990263253, 3.576930948009249, 3.7136124480166472, 3.5391030950122513]	[3.6103626179974526, 3.5573599960189313, 3.5798972379998304, 3.5575733929872513, 3.6655025749932975]	[-0.041278532007709146, -0.018924803007394075, 0.002966289990581572, -0.15603905502939597, 0.12639947998104617]	3.576930948009249	3.5798972379998304	0.037827852996997535	3	2	[1, 2, 4]	[3, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[204820480, 204853248, 198160384, 204759040, 204853248]	[204763136, 196456448, 204951552, 204849152, 204681216]	[-57344, -8396800, 6791168, 90112, -172032]	204820480	204763136	32768	3	2	false	[]	[]	0.17884654740046246	false	false	unavailable	false	false	[]	[]	[]	false	false	false
SPIPureNext.ltl	true	"[""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT"", ""TIMEOUT""]"	[]	0	0/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[17.0, 17.0, 17.0, 17.0, 17.0]	[0.49677434598561376, 0.5200206789886579, 0.5301488040131517, 0.5303267940180376, 0.5165376489749178]	[-16.503225654014386, -16.479979321011342, -16.46985119598685, -16.469673205981962, -16.483462351025082]	17.0	0.5200206789886579	0.0	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	[30236672, 30347264, 30343168, 30449664, 30371840]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	30347264	unavailable	unavailable	unavailable	false	[]	[]	0.8500000000000001	false	false	unavailable	false	false	[]	[]	"[""changed round statuses""]"	false	false	false
amba_decomposed_arbiter_pb_6_pe_.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[1.1823190309805796, 1.2032503749942407, 1.2386724959942512, 1.2744927260209806, 1.1653803769731894]	[1.139856380992569, 1.1890733320033178, 1.1889316180022433, 1.1340736399870366, 1.145335162000265]	[-0.042462649988010526, -0.014177042990922928, -0.04974087799200788, -0.14041908603394404, -0.02004521497292444]	1.2032503749942407	1.145335162000265	0.03542212100001052	5	0	[1, 2, 3, 4, 5]	[]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[63557632, 63631360, 63909888, 63639552, 63631360]	[63475712, 63328256, 63492096, 63488000, 63623168]	[-81920, -303104, -417792, -151552, -8192]	63631360	63488000	8192	5	0	false	[]	[]	0.06016251874971204	false	false	unavailable	false	false	[]	[]	[]	false	false	false
arbiter_on_inpchange_pb_4_pe_.ltl	false	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	"[""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE"", ""REALIZABLE""]"	"[""REALIZABLE""]"	5	5/5	[0.7809408589964733, 0.7742810869822279, 0.8425389369949698, 0.7781754109892063, 0.7989880770328455]	[1.2924799069878645, 1.2431406720425002, 1.2799779900233261, 1.3194905199925415, 1.3553254460566677]	[0.5115390479913913, 0.46885958506027237, 0.4374390530283563, 0.5413151090033352, 0.5563373690238222]	0.7809408589964733	1.2924799069878645	0.006659772014245391	0	5	[]	[1, 2, 3, 4, 5]	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	"[""unavailable"", ""unavailable"", ""unavailable"", ""unavailable"", ""unavailable""]"	unavailable	unavailable	unavailable	unavailable	unavailable	[55967744, 55967744, 55984128, 56008704, 55844864]	[140148736, 141049856, 141737984, 140820480, 140038144]	[84180992, 85082112, 85753856, 84811776, 84193280]	55967744	140820480	16384	0	5	false	[]	[]	0.05	true	true	unavailable	false	false	"[""slowdown — validated""]"	[]	"[""slowdown — validated""]"	false	false	false
